text,joint
I bought it for really cheap also and it's AMAZING.,"LAPTOP#GENERAL/positive,LAPTOP#PRICE/positive"
Highly recommended.,LAPTOP#GENERAL/positive
"Great PC, light and powerful.","LAPTOP#GENERAL/positive,LAPTOP#OPERATION_PERFORMANCE/positive,LAPTOP#DESIGN_FEATURES/positive"
My friends are in awe every time they come over!,LAPTOP#GENERAL/positive
It's extremely light weight and slim because of the lack of an optical drive (who uses those anymore anyways) so it easily fits into any college students bag.,"LAPTOP#DESIGN_FEATURES/positive,LAPTOP#PORTABILITY/positive"
Its a very basic laptop.,LAPTOP#MISCELLANEOUS/neutral
"The delivery was fast, and I would not hesitate to purchase this laptop again.","SHIPPING#QUALITY/positive,LAPTOP#GENERAL/positive"
I finally decided on this laptop because it was the right price for what I need it.,"LAPTOP#GENERAL/positive,LAPTOP#PRICE/positive"
What a great little laptop.,LAPTOP#GENERAL/positive
I cannot be happier with the service or product.,"SUPPORT#QUALITY/positive,LAPTOP#GENERAL/positive"
"THEN, one month after the warranty expired, the replacement charger went.",POWER_SUPPLY#MISCELLANEOUS/negative
Money and time well spent!,"LAPTOP#PRICE/positive,LAPTOP#GENERAL/positive"
All in all I wish I had waited a bit.,LAPTOP#GENERAL/negative
The home page/startup is easy to navigate which is the one thing I was mainly concerned about.,OS#USABILITY/positive
I highly recommend this product!,LAPTOP#GENERAL/positive
"So far, a great product.",LAPTOP#GENERAL/positive
and its really cheap and you wont regret buying it.,"LAPTOP#GENERAL/positive,LAPTOP#PRICE/positive"
"And I'm still paying the bloody financing, for a product which didn't last me at least three years !",LAPTOP#QUALITY/negative
"Great laptop for school, easy to use for beginners in the household.","LAPTOP#MISCELLANEOUS/positive,LAPTOP#USABILITY/positive"
"Needed a 2 usb adapt. for network plug, no problem.",LAPTOP#CONNECTIVITY/neutral
i just love this ultrabook,LAPTOP#GENERAL/positive
"Well, I started using Google Chrome, which is a little better, but it freezes too sometimes.",SOFTWARE#OPERATION_PERFORMANCE/negative
It has a quick start up and shut down time.,LAPTOP#OPERATION_PERFORMANCE/positive
The computer first started malfunctioning 3 months after purchasing it.,"LAPTOP#OPERATION_PERFORMANCE/negative,LAPTOP#QUALITY/negative"
The first thing I can say for positive is that the laptop is very light- makes it really portable..this with a relatively clear screen is a bonus.,"LAPTOP#DESIGN_FEATURES/positive,LAPTOP#PORTABILITY/positive,DISPLAY#QUALITY/positive"
"Well, they don't care a bunch.",SUPPORT#QUALITY/negative
It is a bit heavy.,LAPTOP#DESIGN_FEATURES/negative
If your on a budget.... Save up longer.,LAPTOP#GENERAL/negative
"Then just the other day, my left ""mouse"" button snapped!",MOUSE#QUALITY/negative
5 months dead again.,LAPTOP#QUALITY/negative
Still trying to learn how to use it.,LAPTOP#USABILITY/neutral
he can't stand it.,LAPTOP#GENERAL/negative
"Although my model was listed as recalled, HP denied my claim.",SUPPORT#QUALITY/negative
Excellent keyboard and crisp screen.,"DISPLAY#QUALITY/positive,KEYBOARD#GENERAL/positive"
"a bit ugly,but works good","LAPTOP#DESIGN_FEATURES/negative,LAPTOP#OPERATION_PERFORMANCE/positive"
"Love the graphics, awesome programs (including Garageband), and really cool default background.","GRAPHICS#GENERAL/positive,LAPTOP#DESIGN_FEATURES/positive,SOFTWARE#GENERAL/positive"
"I just bought this computer from the Apple Store, and I couldn't be more impressed with it.",LAPTOP#GENERAL/positive
It has got me feel like to take years to successfully open a web page.,LAPTOP#OPERATION_PERFORMANCE/negative
It would have a full charge yet would turn itself off for no explainable reason after being on for 5 minutes.,LAPTOP#OPERATION_PERFORMANCE/negative
Easy learning curve.,LAPTOP#USABILITY/positive
I love this laptop!,"LAPTOP#GENERAL/positive,LAPTOP#GENERAL/positive"
another satisfied customer.,LAPTOP#GENERAL/positive
WONDERFUL machine;,LAPTOP#GENERAL/positive
I made a perfect decision when I bought the Toshiba!,"LAPTOP#GENERAL/positive,COMPANY#GENERAL/positive"
You will regret it if you buy any dell.,COMPANY#GENERAL/negative
I bought it simply for Excel on Windows for work since I have a Macbook Air and literally the thing freezes and lags opening Excel or my web browser.,LAPTOP#OPERATION_PERFORMANCE/negative
It's so bad that I'm thinking I only got half a battery or something.,BATTERY#OPERATION_PERFORMANCE/negative
Now 17 months later they want (would not say exact amount) $165.00 to $400 to fix the machine.,SUPPORT#PRICE/negative
Has a 5-6 hour battery life.,BATTERY#OPERATION_PERFORMANCE/positive
No tutorials on the display.,LAPTOP#MISCELLANEOUS/negative
Excellent LED monitor and well equipped.,"DISPLAY#DESIGN_FEATURES/positive,LAPTOP#DESIGN_FEATURES/positive"
Avoid Acer.,COMPANY#GENERAL/negative
This product was DOA.,LAPTOP#QUALITY/negative
"AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!",LAPTOP#MISCELLANEOUS/positive
For those that care about noise this thing doesn't really make any;,LAPTOP#QUALITY/positive
At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.,"SUPPORT#QUALITY/negative,MOTHERBOARD#QUALITY/negative"
"I had to call Apple 19 times (each time 40 to 75 minutes on the phone), and take it to their store for evaluations, and diagnostics, 5 times.",SUPPORT#QUALITY/negative
"It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.","KEYBOARD#OPERATION_PERFORMANCE/negative,KEYBOARD#USABILITY/negative"
It is the worst laptop ever,LAPTOP#GENERAL/negative
I can easily get 10 hours out of a full charge.,BATTERY#OPERATION_PERFORMANCE/positive
"I really like the video option on it, I stream movies on Amazon Prime and Netflix and there is no lag.","LAPTOP#OPERATION_PERFORMANCE/positive,LAPTOP#DESIGN_FEATURES/positive"
"Retina screen, solid build quality, weight, fast processor and the reliability of the Apple brand.","LAPTOP#DESIGN_FEATURES/positive,COMPANY#GENERAL/positive,LAPTOP#QUALITY/positive,DISPLAY#QUALITY/positive,CPU#OPERATION_PERFORMANCE/positive"
The perfect notebook...,LAPTOP#GENERAL/positive
It works fine for a PC in this price range.,"LAPTOP#OPERATION_PERFORMANCE/positive,LAPTOP#PRICE/neutral"
It works exactly like it did the day I took it out of the box.,"LAPTOP#QUALITY/positive,LAPTOP#OPERATION_PERFORMANCE/positive"
"Laptop is advertised as a 15"" but the casing looks like that of a 17"".",LAPTOP#DESIGN_FEATURES/negative
Very good price.,LAPTOP#PRICE/positive
It's fast and has excellent battery life.,"BATTERY#OPERATION_PERFORMANCE/positive,LAPTOP#OPERATION_PERFORMANCE/positive"
"I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.","LAPTOP#DESIGN_FEATURES/positive,DISPLAY#DESIGN_FEATURES/positive,LAPTOP#PORTABILITY/positive"
The program came with the computer and works beautifully.,SOFTWARE#OPERATION_PERFORMANCE/positive
I love everything about it.,LAPTOP#GENERAL/positive
Not enough time for me to give it 5 stars!,LAPTOP#GENERAL/neutral
It's priced very reasonable and works very well right out of the box.,"LAPTOP#OPERATION_PERFORMANCE/positive,LAPTOP#PRICE/positive"
"Cons:Honestly zero con's ... as a Windows PC user the switch over was seamlessly,  I run Parallel when I need Windows.","LAPTOP#USABILITY/positive,LAPTOP#GENERAL/positive"
"The big screen allows you to enjoy watching movies , pictures and etc!",DISPLAY#DESIGN_FEATURES/positive
i would have to say that overall its great!,LAPTOP#GENERAL/positive
Works very well.,LAPTOP#OPERATION_PERFORMANCE/positive
plus this computer comes with a full size keyboard.,KEYBOARD#DESIGN_FEATURES/positive
"The apple care has never failed me, and I expect it to be the same for this computer as well.",SUPPORT#QUALITY/positive
The computer was two weeks late in delivery because HP forgot to complete the required import paperwork.,SHIPPING#QUALITY/negative
It is sleek and lightweight and charges quickly when needed.,"BATTERY#OPERATION_PERFORMANCE/positive,LAPTOP#DESIGN_FEATURES/positive"
"My final thoughts: if you are a Mac user, stay away.",LAPTOP#MISCELLANEOUS/negative
I am a college student and it has been very useful.,LAPTOP#MISCELLANEOUS/positive
"Am very glad I bought it, great netbook, low price.","LAPTOP#GENERAL/positive,LAPTOP#PRICE/positive"
And that was the fourth time ive sent it to them to get fixed.,SUPPORT#QUALITY/negative
I lost two items I was working on until I figured out what was happening.,"MOUSE#OPERATION_PERFORMANCE/negative,MOUSE#USABILITY/negative"
"I have spent more than 2.5 hours on the phone with them (over 4 different calls), only to get no where.",SUPPORT#QUALITY/negative
"Again, the same problem, the right speaker did not work.","MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE/negative,MULTIMEDIA_DEVICES#QUALITY/negative"
This is a nicely sized laptop with lots of processing power and long battery life.,"LAPTOP#DESIGN_FEATURES/positive,BATTERY#OPERATION_PERFORMANCE/positive,CPU#OPERATION_PERFORMANCE/positive"
I am very happy with this laptop.,LAPTOP#GENERAL/positive
"I love the 15"" MacBook Pro.",LAPTOP#GENERAL/positive
Games being the main issue.,SOFTWARE#USABILITY/negative
"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",LAPTOP#MISCELLANEOUS/positive
"It was slow, locked up, and also had hardware replaced after only 2 months!","HARDWARE#QUALITY/negative,LAPTOP#OPERATION_PERFORMANCE/negative"
I took it to the shop and they said It would cost too much to repair it.,SUPPORT#PRICE/negative
Not to mention it has shit gigs.,HARD_DISC#DESIGN_FEATURES/negative
I am totally satisfied with my little toshie!,LAPTOP#GENERAL/positive
It immediately recognized the printer and was ready to go.,LAPTOP#CONNECTIVITY/positive
great price.,LAPTOP#PRICE/positive
I am also glad it doesnt get too hot when left on for an extended period of time.,LAPTOP#QUALITY/positive
I bought this laptop Was the worst Laptop I've ever bought.,LAPTOP#GENERAL/negative
It can't get any better.,LAPTOP#GENERAL/positive
The keyboard is too slick.,KEYBOARD#QUALITY/negative
It did not take long to get used to the Mac OS.,OS#USABILITY/positive
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.","MOUSE#USABILITY/negative,LAPTOP#DESIGN_FEATURES/negative,LAPTOP#USABILITY/negative,PORTS#DESIGN_FEATURES/negative"
"The best thing is even while doing almost ten or twenty things at once, it never slows down.",LAPTOP#OPERATION_PERFORMANCE/positive
It has served my needs quite nicely for the most part.,LAPTOP#GENERAL/positive
The speakers are terrible and are probably the cheapest ones I have ever seen in a laptop so if your planning to listen to music I suggest you get something better.,"MULTIMEDIA_DEVICES#GENERAL/negative,MULTIMEDIA_DEVICES#QUALITY/negative"
also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.,"KEYBOARD#DESIGN_FEATURES/negative,KEYBOARD#USABILITY/negative"
Would be a very nice laptop if the mousepad worked properly.,"LAPTOP#GENERAL/positive,MOUSE#OPERATION_PERFORMANCE/negative"
I like the design rather sleek and light.,LAPTOP#DESIGN_FEATURES/positive
Skype is just so dang cool with this machine too.,SOFTWARE#GENERAL/positive
The only bad part is the size/weight.,LAPTOP#DESIGN_FEATURES/negative
I would definitely recommend this!!,LAPTOP#GENERAL/positive
this is starting off good.,LAPTOP#GENERAL/positive
Super light weight (I never cared either way about weight until now).,LAPTOP#DESIGN_FEATURES/positive
By just looking at it you will realize it's crap.,LAPTOP#QUALITY/negative
I like the laptop overall.,LAPTOP#GENERAL/positive
Quite simply this is the best laptop I have ever owned.,LAPTOP#GENERAL/positive
It is SO much fun to play with.,SOFTWARE#GENERAL/positive
"It is quite impressive at multitasking, which really surprised me.",LAPTOP#OPERATION_PERFORMANCE/positive
I love the operating system and the preloaded software.,"SOFTWARE#GENERAL/positive,OS#GENERAL/positive"
A great computer for light home use and business use.,LAPTOP#MISCELLANEOUS/positive
The one thing I wish it had was a detailed hardcopy manuel.,LAPTOP#MISCELLANEOUS/negative
It is the easiest computer I have ever used,LAPTOP#USABILITY/positive
Look and feel is good.,"LAPTOP#QUALITY/positive,LAPTOP#DESIGN_FEATURES/positive"
It is not ideal for children because of the temp.,"LAPTOP#MISCELLANEOUS/negative,LAPTOP#QUALITY/negative"
"Toshiba customer services will indirectly deal with your problems by constantly tranferring you from one country to another, and I am not kidding you, I called different hours of the day and you'll get someone else from another country trying to get you to tell them your life story all over again, since they make it sound like they don't have your history list of your calls right in front of them.",SUPPORT#QUALITY/negative
If people are writing bad reviews about this laptop then believe what they say.,LAPTOP#GENERAL/negative
My mac laptop is fabulous in both areas.,"LAPTOP#OPERATION_PERFORMANCE/positive,MEMORY#DESIGN_FEATURES/positive"
I would recommend this product.,LAPTOP#GENERAL/positive
"everything about a mac is wonderful, it takes a little used to learning and getting used to the new system, but you will learn fast and its all worth it.","OS#USABILITY/positive,LAPTOP#GENERAL/positive"
The battery will get you from LA to NY no problem.,BATTERY#OPERATION_PERFORMANCE/positive
However I am very upset that it doesn't have the superdrive built in!,LAPTOP#DESIGN_FEATURES/negative
If you are a PC user looking to convert I would HIGHLY recommend it!,LAPTOP#MISCELLANEOUS/positive
"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.","BATTERY#OPERATION_PERFORMANCE/positive,LAPTOP#OPERATION_PERFORMANCE/positive"
I recently purchased the mini and absolutely love it!,LAPTOP#GENERAL/positive
Below average on the w-fi adapter which I'm still trying to get to the bottom of.,LAPTOP#CONNECTIVITY/negative
I like the number pad for work so that's nice,KEYBOARD#DESIGN_FEATURES/positive
4.Loud fan when watching 4K video off YouTube.,FANS_COOLING#QUALITY/negative
The screen is very large and crystal clear with amazing colors and resolution.,"DISPLAY#QUALITY/positive,DISPLAY#DESIGN_FEATURES/positive"
"I like it so much, I bought another just for my wife.",LAPTOP#GENERAL/positive
"I spent 2200 dollars on a ""top of the line laptop"".","LAPTOP#PRICE/negative,LAPTOP#QUALITY/negative"
Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.,"LAPTOP#GENERAL/positive,LAPTOP#DESIGN_FEATURES/positive"
"Plain and simple, it(laptop) runs great and loads fast.",LAPTOP#OPERATION_PERFORMANCE/positive
The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,BATTERY#OPERATION_PERFORMANCE/neutral
The Windows 8.1 used to boot in just 2s and that was freaking awesome.,OS#OPERATION_PERFORMANCE/positive
"The screen is a little glary, and I hated the clicking buttons, but I got used to them.","DISPLAY#QUALITY/negative,MOUSE#USABILITY/neutral"
Please people dont make the same mistake i did.,LAPTOP#GENERAL/negative
Those moments in thime where you want to throw something against the wall?,LAPTOP#GENERAL/negative
Of course this will decrease your battery life.,LAPTOP#MISCELLANEOUS/neutral
"I am not going to sit here and complain about it not having a cd drive and what not because it is a netbook, it is made to be compact and if you want all the other stuff get a laptop.",LAPTOP#DESIGN_FEATURES/neutral
The laptop died two days after I received it.,LAPTOP#QUALITY/negative
I LOVE it!,LAPTOP#GENERAL/positive
The plastic materials are rather cheap.,LAPTOP#QUALITY/negative
I've had it for a minth and so far it's shut down completely 3 times.,"LAPTOP#OPERATION_PERFORMANCE/negative,LAPTOP#QUALITY/negative"
I have now been waiting almost a minute for the computer management window to open!,LAPTOP#OPERATION_PERFORMANCE/negative
When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,SUPPORT#QUALITY/negative
"I AM IMPRESSED WITH THIS COMPUTER, INEXPENSIVE BUT QUALITY.","LAPTOP#QUALITY/positive,LAPTOP#GENERAL/positive,LAPTOP#PRICE/positive"
Couldnt not use it.,LAPTOP#USABILITY/negative
I Hate it!,LAPTOP#GENERAL/negative
Initially I liked the product so much.,LAPTOP#GENERAL/positive
But other than that I am blown away by all the features this laptop offers.,LAPTOP#DESIGN_FEATURES/positive
My one complaint with this laptop is that I've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in.,PORTS#QUALITY/negative
That's a nuisance for family Skype calls...only one can speak at a time.,LAPTOP#USABILITY/negative
even though I had the receipt in front of me proving it still had 2 months left on the warranty.,SUPPORT#QUALITY/negative
"For example, when my husband turns the light out while I'm on the computer. the screen brightness automatically adjusts.",DISPLAY#DESIGN_FEATURES/positive
This is a big disappointment.,LAPTOP#GENERAL/negative
It dosn't even have a disc compartment,LAPTOP#DESIGN_FEATURES/negative
"Small enough to use on a long flight, Light enough to carry through airports and powerful enough to replace my desktop while on long business trips.","LAPTOP#PORTABILITY/positive,LAPTOP#OPERATION_PERFORMANCE/positive,LAPTOP#DESIGN_FEATURES/positive"
"Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents.","LAPTOP#MISCELLANEOUS/positive,LAPTOP#PORTABILITY/positive,LAPTOP#GENERAL/positive"
The only time I have restarted is during system updates.,LAPTOP#OPERATION_PERFORMANCE/positive
Needless to say I told them No and have a nice day and hung up!,SUPPORT#QUALITY/negative
"Though I don't have much installed, I only have 96 of the 278G left!",LAPTOP#MISCELLANEOUS/negative
The laptop is very responsice with the Core i7 processor and 8GB of RAM and the sound out of the Beats audio is great.,"SOFTWARE#QUALITY/positive,MEMORY#DESIGN_FEATURES/positive,LAPTOP#OPERATION_PERFORMANCE/positive,CPU#OPERATION_PERFORMANCE/positive"
"Also, my sister got the exact same laptop (since they were so cheap) and after 8 months, the screen split in half just from everyday use.","LAPTOP#PRICE/positive,DISPLAY#QUALITY/negative"
very very slow laptop.,LAPTOP#OPERATION_PERFORMANCE/negative
I can not even read what I am writing half of the time.,DISPLAY#USABILITY/negative
"I have no idea what's taking up all the room, it doesn't make sense.",LAPTOP#MISCELLANEOUS/negative
In short I would never buy a Compaq again.,COMPANY#GENERAL/negative
and plenty of storage with 250 gb(though I will upgrade this and the ram..),HARD_DISC#DESIGN_FEATURES/positive
"I will NEVER buy (Refurbished) again, I don't cae how cheap it is.",LAPTOP#MISCELLANEOUS/negative
"This is going to be random and unorganized, but here are my thoughts on the laptop:So far so good after a month.",LAPTOP#GENERAL/positive
The battery is really long.,BATTERY#OPERATION_PERFORMANCE/positive
Still giving it a 5 star rating because it is fast and a nice sized screen.,"LAPTOP#OPERATION_PERFORMANCE/positive,DISPLAY#DESIGN_FEATURES/positive,LAPTOP#GENERAL/positive"
Not worth it one bit.,LAPTOP#GENERAL/negative
Strengths:Well-shaped,LAPTOP#DESIGN_FEATURES/positive
It is extremely portable and easily connects to WIFI at the library and elsewhere.,"LAPTOP#PORTABILITY/positive,LAPTOP#CONNECTIVITY/positive"
"It is fast booting up , shutting down, and connection with the internet.","LAPTOP#CONNECTIVITY/positive,LAPTOP#OPERATION_PERFORMANCE/positive"
Eventually the screen went blank and the computer would not turn on.,"DISPLAY#OPERATION_PERFORMANCE/negative,LAPTOP#OPERATION_PERFORMANCE/negative"
very convenient when you travel and the battery life is excellent...,"LAPTOP#PORTABILITY/positive,BATTERY#OPERATION_PERFORMANCE/positive"
"This one however, is now very loose and I have to either tap hard or repeatedly push to click in order for it to work, Then suddenly, I can barely touch it at all and it clicks on its own.","MOUSE#USABILITY/negative,MOUSE#QUALITY/negative,MOUSE#OPERATION_PERFORMANCE/negative"
"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.",LAPTOP#MISCELLANEOUS/positive
my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,"GRAPHICS#DESIGN_FEATURES/neutral,LAPTOP#MISCELLANEOUS/neutral"
It WORKS!,LAPTOP#OPERATION_PERFORMANCE/positive
"The HD display is sensational, and now watching any movie is a very enjoyable experience for me.",DISPLAY#QUALITY/positive
