text,aspect,polarity
The large screen also helps when you are working in design based programs like Adobe Creative Suite.,screen,positive
Lightweight and the screen is beautiful!,screen,positive
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.","Photoshop,applications","neutral,neutral"
Mac also has many apps and programs that are quite cheap or free.,programs,positive
Features like the font are very block-like and old school.,Features,negative
The feel of this machine compared to the old MacBook is far superior.,feel,positive
The machine is slow to boot up and occasionally crashes completely.,boot up,negative
"It is easy to use, has great screen quality, and every so light weight.",use,positive
I sent it back to Toshiba twice they covered it under the  warranty.,warranty,positive
Great pick for portability and affordability.,portability,positive
Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,price,positive
It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.,"use,Mac OS","positive,positive"
The first full charge of this battery got me only about 2 full hours.,battery,negative
"Good keyboard, long battery life, largest hard drive and windows 7.","windows 7,keyboard,battery life,hard drive","positive,positive,positive,positive"
"The speed gives you the power to work on these projects seamlessly, and multiple at a time if you sowish.",speed,positive
"I gave it to my daughter because I just hated the screen, hated that it had no cd drive to at least play cd's when I wanted to listen to music and do schoolwork.","cd drive,screen","negative,negative"
iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.,iLife,positive
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).","gaming,external mouse","neutral,neutral"
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,processor,neutral
"I am not sure if it was the drive itself, however;",drive,neutral
"The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones.",sound,negative
"Even doing so, the hinge may just be slightly tightened only.",hinge,neutral
The first one sent: Touchpad didn't work The second sent: USB didn't work The third sent: Touchpad didn't work The fourth sent: Hasn't arrived yet.,"Touchpad,Touchpad","negative,negative"
"I love the solid machined aluminum frame, and the keyboard is the best of any laptop I've used.",keyboard,positive
The shop will definitely push the problem to the service center.,service center,neutral
keys are all in weird places and is way too large for the way it is designed.,keys,negative
"With awesome graphics and assuring security, it's perfect!",graphics,positive
The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.,display,negative
"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.","programs,features","neutral,neutral"
The switchable graphic card is pretty sweet when you want gaming on the laptop.,gaming,neutral
"I am constantly trying to uninstall programs, clean cookies, and delete unused files.",programs,neutral
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,positive
This MacBook is an outstanding product with great value.,value,positive
"I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.",use,positive
This computer is exceptionally thin for it's screen size and processing power.,screen size,positive
the mouse pad and buttons are the worst i've ever seen.,"buttons,mouse pad","negative,negative"
† I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.,tech support,negative
"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!","OS,OS","positive,positive"
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.","features,size,mouse pad","positive,positive,positive"
"Whenever I call Dell about an unrelated problem, they ask me if my laptop is running slowly and if I'd like to purchase more memory for $75.",memory,neutral
"Of course, for a student, weight is always an issue.",weight,neutral
It does not even have the software to play a dvd now.,software,negative
† Again I sent it back and they replaced the motherboard and some fan inside.,"fan,motherboard","neutral,neutral"
"Love the speed, especially!",speed,positive
I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.,"touchpad,screen","negative,neutral"
tons of bloatware and junk programs.,programs,negative
Once I removed all the software the laptop loads in 15-20 seconds.,"loads,software","neutral,negative"
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed,positive
The trackpad was easy to learn and navigate.,trackpad,positive
Also kinda loud when the fan was running.,fan,negative
"It even has a great webcam, and Skype works very well.",webcam,positive
† After that the said it was under warranty.,warranty,neutral
"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",screen,negative
"Laptops are usually used on the go, so why not give you a better battery?",battery,negative
I will never go back to Windows!,Windows,negative
"everything about a mac is wonderful, it takes a little used to learning and getting used to the new system, but you will learn fast and its all worth it.",system,neutral
It has a faster processor and more ram.,"processor,ram","positive,positive"
also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.,"keyboard,keyboard","negative,negative"
Now for the hardware problems.,hardware,negative
"After doing extensive research, macconnection had the lowest price on the 15"" MBP i5.",price,positive
They are about the same size keys.,keys,neutral
"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.","use,screen","positive,positive"
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",OS,positive
BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,"Windows,OS X","neutral,neutral"
But sadly the replacement froze-up while updating the BIOS again and shut down and would not turn back on.,BIOS,negative
The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.,"screen size,battery life","neutral,neutral"
Also the display is exceptional!,display,positive
Fan noise: The fan made a constant hissing noise in the background.,fan,negative
"The computer loads in about a 1/10th of the time that my PC did, and I have all of the programs that were on my PC.","programs,loads","positive,positive"
"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.","program,program","positive,positive"
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.","quality,performance,battery life","negative,negative,positive"
I was looking for a mac which is portable and has all the features that I was looking for.,features,positive
"I love the easy to see screen, and It works well for work, persoal or just play.","screen,works","positive,positive"
After 20-30 min the screen of the notebook switched off.,screen,negative
Can listen to my music and watch my videos with ease and with a great display.,display,positive
-I propose that I can just swap the hard drives.,hard drives,neutral
"Treat yourself to a more expensive, long-lasting laptop of quality like a Sony, Apple, or Toshiba.",quality,positive
it is very easy for anyone to use an apple and specially the mcbook pro notebook.,use,positive
† There's literally no way to make it sing with Vista.,Vista,negative
† Later it held zero charge and its replacement worked for less than three months.,charge,negative
They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,"hard drive,warranty","neutral,negative"
i love the size of the computer since i play games on it.,"size,games","positive,neutral"
† This process continued to repeat itself until the mother board had been replaced 4 times and the hard drive replaced 3 times.,"hard drive,mother board","negative,negative"
The performance is awesome.,performance,positive
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.","use,applications,quality","positive,positive,positive"
He has replaced his hard drive twice and (of course) has had to pay for antivirus software every year.,hard drive,negative
"Whenever tried to turn it on, it would restart as soon as the BIOS launched Windows (or Winblows, as I like ot call it).","Windows,BIOS","negative,negative"
Its also FUN to use!,use,positive
"Also, I issued a replacement RMA for a few dead pixels in the upper zone of the screen, which is noticable to me.",screen,negative
"Call tech support, standard email the form and fax it back in to us.",tech support,neutral
"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor",Features,neutral
It was super easy to set up and Is really easy to get used to.,set up,positive
-Touchpad will take a bit of time to get used to.,Touchpad,neutral
"I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard.",features,neutral
Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.,"warranty,warranty","negative,negative"
"With all the programs that came with it, such as iLife and iWork, I was set from the very beginning.","programs,iLife,iWork","neutral,neutral,neutral"
"Love the graphics, awesome programs (including Garageband), and really cool default background.","programs,Garageband,graphics","positive,positive,positive"
"But with A WAY Bigger Screen, and IS able to connect to an HDMI.",Screen,positive
Good for every day computing and web browsing.,web browsing,positive
"I noticed windows has a new system called Windows 7, what about us Vista users?† They should get all the bugs out of Vista before investing in a new system.","Vista,windows,Vista,Windows 7","neutral,neutral,negative,neutral"
They say sorry out of warranty.,warranty,negative
I love WIndows 7 which is a vast improvment over Vista.,Vista,negative
That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,mouse,positive
"† Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.","size,software,hardware","neutral,neutral,neutral"
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.","programs,iphoto","positive,positive"
"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.","look,built,performance,price","positive,positive,positive,positive"
† The only thing I can imagine is that Sony jumped on early specifications for Vista requirements from Microsoft and designed it to those inadequate requirements.,Vista,negative
The real stand out on this computer is the feel of the keyboard and it's speed.,"keyboard,speed","positive,positive"
"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.","battery life,programs","negative,negative"
but it  has a major design flaw.,design,negative
I believe that the quality of a mac is worth the price.,"quality,price","positive,positive"
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,positive
"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.","windows,programs","neutral,neutral"
"The screen takes some getting use to, because it is smaller than the laptop.",screen,negative
"The battery life, before the battery completely died of course, left much to be desired.","battery,battery life","negative,negative"
"They said that my computer was covered on an extended warranty, and that products with† extended warranties are taken care of through third parties and not Sony itself anymore.",extended warranty,neutral
Has a 5-6 hour battery life.,battery life,neutral
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,"trackpad,trackpad,external mouse","negative,negative,neutral"
"Still under warrenty so called Toshiba, no help at all.",warrenty,negative
"† The hard drive crashed as well, and I had to buy a new  power cord.",hard drive,negative
Everything from the design to the OS is simple and to the point.,"design,OS","positive,positive"
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.","Windows,screen,size","neutral,positive,positive"
I would like to use a different operating system altogether.,operating system,neutral
iPhotos is an excellent program for storing and organizing photos.,program,positive
"After 2 months of complaints, Asus finally sent the right power supply to my techies.",power supply,neutral
"So I called Compaq, and after being on the phone for 3 hours, i finally got a replacement which I shouldn't have had a problem getting since it was under warranty.",warranty,neutral
It gives me the power and speed that I need to run all the programs I use to edit.,"programs,speed,power","neutral,positive,positive"
"Called Acer many times, they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer!",shipping,negative
"This laptop looks great on the surface: 17"" inch screen, good  price-point, nice appearance, boots up quickly, runs fast etc.","appearance,runs","positive,positive"
The case is carved out of a single block of aluminum.,case,neutral
"† And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended).",memory,neutral
It has just enough RAM to run smoothly and enough memory to satisfy my needs.,"RAM,memory","positive,positive"
Battery is not upgradable to a longer life battery.,battery,negative
"It is a REAL touchpad, not the toy I saw in other brands.",touchpad,positive
It is good to know that I can mobilize without having to worry about the battery life.,battery life,positive
Later it held zero charge and its replacement worked for less than three months.,charge,negative
It has good speed and plenty of hard drive space.,speed,positive
"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.","display,battery life","positive,positive"
Didn't work when shipped from Walmart.com but went into a store and exchanged for a working laptop (same make/model).,work,negative
"I chose the iBookG4, a laptop that is an attractive computer with a large screen big enough to please anyone.",screen,positive
The keyboard has a wonderful nature feel.,keyboard,positive
"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.","software,software","negative,negative"
Had some trouble finding a case that it would fit in.,case,negative
"Features such as the Dashboard (allows you to view frequently used tools like a calculator, weather forecast, movie times, calendar, computer post its etc.",Features,neutral
"Now,,,,,my monitor has been acting up for about 2 months.",monitor,negative
My wireless system would not recognize Windows 7 and I couldn't get online to find out why.,Windows 7,neutral
"WIth the upgraded memory, the MacBook Pro never has an issue running many many applications at once!",applications,neutral
"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.",battery life,positive
Screen is crystal clear and the system is very responsive.,"Screen,system","positive,positive"
of course my warranty runs out next month.,warranty,neutral
The graphics on this computer are also stellar - very clear and vivid.,graphics,positive
"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,negative
"The PhotoBooth is a great program, it takes very good pictures with the built-in camera.",program,positive
"I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.","iLife,iWork,programs","positive,positive,positive"
† This time the mouse pad and right click key wouldn't work!,mouse pad,negative
"The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that warranty covering all the products we purchased.","battery life,warranty","negative,negative"
Not easy to carry.,carry,negative
Runs fast and the regular layout keyboard is so much better.,Runs,positive
Sony parts reliability and quality of service is recenlty the worst.,service,negative
"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.",warranty,negative
Again- windows based machines were not giving me anything to work with!,windows,negative
"Now the screen is going darker, darker, darker.",screen,negative
I love to write and play with graphics and html programming and my new Toshiba works great on both!,works,positive
"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",webcam,negative
super fast processor and really nice graphics card..,"processor,graphics card","positive,positive"
I'v spent as much for shipping as I would to buy a new netbook -- of course a different brand.,shipping,negative
The only thing i can say is that the touch pad doesnt work like it should all the time.,touch pad,negative
":-)If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.",battery life,negative
I called their repair depot as was told they would send Me a new box to return the computer to the repair depot.,"repair depot,repair depot","neutral,neutral"
We paid for the three year warranty and the extended warranty after that one ended as well.,extended warranty,neutral
"My laptop cost approximately $2,300 and DIED after only 2-years, 10-months and 18-days of use.",cost,negative
and it comes with the new OSX that comes with new features that makes the use more easy.,"use,features","positive,positive"
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!","navigate,operating system,runs","positive,positive,positive"
I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.,performance,positive
The Toshiba laptop I am using is easier to use than most I have tried.,use,positive
"†A coupla months later, they change my hard drive.",hard drive,negative
"I have had another Mac, but it got slow due to an older operating system.",operating system,negative
"I wish it had a webcam though, then it would be perfect!",webcam,negative
I have not had a problem with the applications quitting or freezing.,applications,positive
The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,"space,size","negative,positive"
I thought the price was great for the specs.,"specs,price","positive,positive"
Many of my classmates computers hard drives crashed.,hard drives,negative
It had most of the features and all of the power that I wanted to replace my desktop machine.,"power,features","positive,positive"
Then the hard drive failed;,hard drive,negative
† I was also able to install and use my Photoshop and AfterEffects programs easily.,Photoshop,positive
"Obviously one of the most important features of any computer is the ""human interface.",features,neutral
"It did fairly well, other than it's poor performance, overheating and occational blue screen.",performance,negative
"† upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired.",warranty,neutral
Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.,hard drive,negative
This system came loaded with Windows 7 Starter.,Windows 7 Starter,neutral
And the warranty on this macbook pro can last up to 5 years or 1000 battery recharge cycles.,warranty,positive
The little battery that it did have would only last about an hour while just having it on the desktop.,battery,negative
"The battery life is amazing, the versitility is outstanding.",battery life,positive
It has all the features that are necessary for college and if not they are able to be added onto the computer.,features,positive
the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.,graphics,negative
"As a lifelong Windows user, I was extremely pleased to make the change to Mac.",Windows,negative
"As a die-hard Windows enthusiast, I shunned the idea of a Mac until this point.",Windows,positive
"† Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.",warranty,neutral
Many kinds of software that is necessary to the working person is not available and cannot be downloaded.,software,negative
"The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7.",use,positive
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",hard drive,neutral
"Sure, the initial out of pocket expense is greater, but that should not dissuade anyone from the fact that these machines run like none other on the planet, and when I factor in all the money in that I wasted on Geek Squad and the latest patches to de-corrupt my infested PCs, it probably comes out about even anyhow.",run,positive
There is nothing to complain about the system.,system,positive
"Well, I have to say since I bought my Mac, I won't ever go back to any Windows.",Windows,negative
The laptop is outstanding in all aspects except that it has the Windows 7 starter and not the full Windows 7.,Windows 7,positive
"I hope to edit this in the next few hours, I am going to try to install my own copy of Windows 7.",Windows 7,neutral
"But the quality, in general was less than the worth of the cheap laptop.",quality,negative
I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!,quality,positive
"This purchase opened me to the world of Macbooks, and I am impressed with the intuition of the design, the beauty of the product, and the excellent technological advances associated with it.",design,positive
But other than that I am blown away by all the features this laptop offers.,features,positive
"They went through asking me open up various components, taking battery out, hard disk apart, and after 2 hours on phone could not fix it.",battery,neutral
"The laptop is relatively simple to use, though I bought  Macs for Dummies,  which is well worth $2",use,positive
"Not too much ""junk"" software to remove.",software,positive
Was very much worth the price i paid.,price,positive
"however, I may have inadvertently thrown out one of the batteries with the shipping carton.",batteries,neutral
"Aside from the trial software and the short battery life, lack of a webcam, its great.","battery life,webcam","negative,negative"
The only downfall is the battery only last 1.5-2.0 hrs when not plugged in.,battery,negative
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.","screen,screen size","negative,negative"
It had the full sized touch pad with 2 buttons instead of just one.,touch pad,neutral
The feature are good enough for what I need.,feature,positive
It's so bad that I'm thinking I only got half a battery or something.,battery,negative
Windows also shuts the computer down for no reason without warning.,Windows,negative
"I dislike the weight and size, cubersome.","size,weight","negative,negative"
"The display is incredibly bright, much brighter than my PowerBook and very crisp.",display,positive
"But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video.","size,mouse,monitor","positive,neutral,neutral"
"Although the price is higher then Dell laptops, the Macbooks are worth the dough.",price,negative
"The battery life seems to be very good, and have had no issues with it.",battery life,positive
the i3 processor doesn't seem to run hot and the fan rarely turns on.,fan,positive
This is a great value for the money.,value,positive
It's just as fast with one program open as it is with sixteen open.,program,neutral
The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,"warranty,graphics","negative,negative"
"My Toshiba did not have sound on everything, just certain things.",sound,negative
The battery life is great.,battery life,positive
I would like at least a 4 hr. battery life.,battery life,neutral
I couldn't believe how long the battery lasted on a single charge.,"charge,battery","positive,positive"
"I got it back again and was told the motherboard had been replaced, so I was now on the SECOND motherboard within 3 months.","motherboard,motherboard","negative,negative"
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,neutral
It is in the best condition and has a really high quality.,quality,positive
"The flaws are, this computer is not for computer gamers because of the OS X.",OS X,negative
