text,joint
"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",Mac OS/positive
"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.",word processing/neutral
"The display is incredibly bright, much brighter than my PowerBook and very crisp.",display/positive
"I love the size, keyboard, the functions.","size/positive,functions/positive,keyboard/positive"
†Then after paying for it to be examined I was told it was same problem cited on website but I'd have to pay anyways since it was past warrenty.,warrenty/negative
The best thing about this laptop is the price along with some of the newer features.,"price/positive,features/positive"
But the machine is awesome and iLife is great and I love Snow Leopard X.,iLife/positive
"I love the solid machined aluminum frame, and the keyboard is the best of any laptop I've used.",keyboard/positive
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use/positive
"Waiting for the i7 was well worth it, great value for the price.",price/positive
† There's literally no way to make it sing with Vista.,Vista/negative
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",memory/neutral
"Your cursor will end up all over the freaking place,,,it's not uncommon for me to accidentally delete words, sentences, paragraphs because of this mousepad.",mousepad/negative
The battery has never worked well.,battery/negative
The screen gets smeary and dusty very quickly and it's very noticeable.,screen/negative
After that I turned to email in my next vain help to get them to acknowledge that the warranty was still valid.,warranty/neutral
"The Macbook starts fast, doesn't crash, has a fantastic display, is small and light (I have the 13.3"" model), and isn't always complaining about updates, lost connections, errors, blue screens, etc.",display/positive
The graphics are stunning.,graphics/positive
Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.,features/neutral
"It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.","use/positive,weight/positive,keyboard/positive"
"I made a photo book as a gift, on my computer, pushed ""Buy"" and it drew from my iTunes account and sent the book to my house, the book was of perfect quality-exactly how I had created it and looked better than I had even imagined.",iTunes/neutral
The screen is bright and the keyboard is nice;,"keyboard/positive,screen/positive"
i also love having the extra calculator number set up on the keyboard which most laptops do not have.,keyboard/positive
"everything about a mac is wonderful, it takes a little used to learning and getting used to the new system, but you will learn fast and its all worth it.",system/neutral
"The screen is nice, side view angles are pretty good.",screen/positive
† since then†i have had minor problems with slow operation.,operation/negative
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen/neutral
the mouse jumps around all the time and it clicks stuff i dont want it too.,mouse/negative
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,processor/negative
But sadly the replacement froze-up while updating the BIOS again and shut down and would not turn back on.,BIOS/negative
also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.,"keyboard/negative,keyboard/negative"
He has replaced his hard drive twice and (of course) has had to pay for antivirus software every year.,hard drive/negative
"My daughter uses it for games, email, facebook, pictures and music.",games/neutral
-Computer crashed frequently and battery life decreased very quickly.,battery life/negative
"Overall, I experienced a huge change in that my mac runs pretty fast compared to my old PC.",runs/positive
"Accordingly, I have decided to NEVER purchase another HP product (my five year old Compaq) lasted 5-years before the hard drive crashed.",hard drive/negative
"When you look at the specs on Apple products in comparison to a Dell or a HP, yes they do seem to offer less for a higher cost.",cost/negative
"It is absolutely horrible to use, despite all its so called advanced features.","use/negative,features/negative"
The keyboard is slick and quiet and not bulky like some other laptops I have had in the past.,keyboard/positive
Thank you Best Buy for putting my computer together and installing my first software - you guys were GREAT too!,software/neutral
BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,"Windows/neutral,OS X/neutral"
"The touchpad is extremely sensitive, which is the only drawback.",touchpad/negative
I charge it at night and skip taking the cord with me because of the good battery life.,battery life/positive
"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.","keyboard/positive,screen/positive"
"A cheaper price should not equal a ""cheap"" product.",price/positive
The keyboard is like no other laptop keyboard.,"keyboard/neutral,keyboard/neutral"
"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out.",Windows 7/positive
Downfalls: sharp edges.,edges/negative
"It was still working, but there was nothing on the screen.",screen/negative
Windows is also rather unsteady on its feet and is susceptible to many bugs.,Windows/negative
it is very easy for anyone to use an apple and specially the mcbook pro notebook.,use/positive
"Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously.","programs/neutral,applications/positive"
The shop will definitely push the problem to the service center.,service center/neutral
"Call tech support, standard email the form and fax it back in to us.",tech support/neutral
"The screen takes some getting use to, because it is smaller than the laptop.",screen/negative
"The battery life was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.","battery/negative,battery/neutral,battery life/negative"
and it comes with the new OSX that comes with new features that makes the use more easy.,"use/positive,features/positive"
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.","Bluetooth/negative,software/negative"
Good price.,price/positive
"I am constantly trying to uninstall programs, clean cookies, and delete unused files.",programs/neutral
"it might be something deep within Windows, for I was unable to create a disk image on my hard drive.","Windows/negative,hard drive/negative"
All for such a great price.,price/positive
It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.,software/neutral
"Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.",size/negative
"The flaws are, this computer is not for computer gamers because of the OS X.",OS X/negative
Very fast boot up and shut down.,boot up/positive
"It is easy to use, has great screen quality, and every so light weight.",use/positive
"Compared to similarly spec'd PCs, this machine is good value, well built and works easily right out of the box.","value/positive,built/positive,works/positive"
My wireless system would not recognize Windows 7 and I couldn't get online to find out why.,Windows 7/neutral
"† Worse, for the price I could get a *netbook* that outperforms this machine.",price/negative
It seems they could have updated XP and done without creating Vista.,Vista/negative
Was very much worth the price i paid.,price/positive
It was super easy to set up and Is really easy to get used to.,set up/positive
It runs very quiet too which is a plus.,runs/positive
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.","use/positive,applications/positive,quality/positive"
"† Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing.","keys/neutral,mousepad/neutral"
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.","motherboard/neutral,hard drive/neutral"
"I hope to edit this in the next few hours, I am going to try to install my own copy of Windows 7.",Windows 7/neutral
It was secure and easy to navigate.,navigate/positive
"The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.","charge/negative,charge/negative,battery/negative"
"Great battery, speed, display.","battery/positive,speed/positive,display/positive"
Had some trouble finding a case that it would fit in.,case/negative
"If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.",drivers/negative
"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.",Windows 7/positive
":-)If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.",battery life/negative
"My MacBook Pro works like a dream, it has never overheated, or even been slightly warm for that matter.",works/positive
The computer will constantly be getting hot and burning your leg unless you go through the hassle of taking off the entire back of it just to clean out the fan.,fan/negative
this apple navigates you thru the unexplored world of the internet.,internet/neutral
"Also it is very good for college students who just need a reliable, easy to use computer.",use/positive
defective software.,software/negative
It's fast and has excellent battery life.,battery life/positive
Ease of use is just one of the benefits I love about my Mac.,"use/positive,use/positive"
My battery went bad about a year and a half after having it and it cost around eighty to a hundred dollars!,battery/negative
"I know there are way better laptops out there for the same price, and why spend money on shit when you can go out and get yourself a perfectly decent laptop that doesnt suck total monkey balls.",price/neutral
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.","performance/neutral,price/positive,look/positive,applications/positive"
The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,"price/negative,software/negative,iWork/negative"
"Typically, when I purchase a new laptop I always end up using an external mouse for convenience.",external mouse/neutral
"Because we did not purchase the extended warranty in time, we are on the hook for the repair.",extended warranty/negative
"I have Vista, so I am unable to install and uninstall† some programs.","Vista/negative,programs/negative"
they had to replace the motherboard in April,motherboard/negative
It is light and the battery last a very long time.,battery/positive
It gives me the power and speed that I need to run all the programs I use to edit.,"programs/neutral,speed/positive,power/positive"
"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",OS/neutral
"One drawback, I wish the keys were backlit.",keys/negative
Took several hours with customer support before I could even start the PC out of the box.,customer support/negative
† The machine is slow to boot up and occasionally crashes completely.,boot up/negative
The keyboard feels good and I type just fine on it.,keyboard/positive
"PC users work in Word, while Mac users work in Pages.","Word/neutral,Pages/neutral"
"So, after Apple replaced the hard drive I enjoyed another 4 months of my new computer, until it froze this morning--completely.",hard drive/neutral
so the fact that the computer does not work on the 24 twenty fourth day is my fault.,work/negative
The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,"warranty/negative,graphics/negative"
the speed is fine.,speed/positive
Runs smooth and quick.,Runs/positive
"After 2 months of complaints, Asus finally sent the right power supply to my techies.",power supply/neutral
"The battery life, before the battery completely died of course, left much to be desired.","battery/negative,battery life/negative"
I think that if it is the motherboard again so soon that they should replace it.,motherboard/negative
"The speed difference is next to NOTHING for a mac, and the hard drive can be manually upgraded or you could just buy a $60 500gb external hard drive.","hard drive/neutral,speed/negative"
The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.,"screen size/neutral,battery life/neutral"
A mac is very easy to use and it simply makes sense.,use/positive
You can call HP and they want you to buy more software to fix it.,software/neutral
"I did think it had a camera because that was one of my requirements, but forgot to check in the specifications on this one before I purchased.",specifications/neutral
System is loosing about 20% of performance because of that.,performance/negative
The laptop was very easy to set up.,set up/positive
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,"system/negative,software/neutral"
"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista.",Vista/neutral
Many kinds of software that is necessary to the working person is not available and cannot be downloaded.,software/negative
The large screen gives you the option to comfortably watch movies or TV shows on your computer instead of buying an additional TV for your dorm room.,screen/positive
The mousepad is a huge pain in the arse!,mousepad/negative
and looks very sexyy:D  really the mac book pro is the best laptop specially for students in college if you are not caring about price.,price/negative
Also kinda loud when the fan was running.,fan/negative
"Am very glad I bought it, great netbook, low price.",price/positive
"There are no gold key numbers too intall programs, you must use the serial numbers that it does not accept and then things are limited as far a working because they are only good for a short time.",programs/negative
† Sometimes the screen even goes black on this computer.,screen/negative
"Without a doubt, the *design* of this laptop is fantastic.",design/positive
"I upgraded it's RAM to 2GB, I am very happy with it.",RAM/positive
Sells for the same as a netbook without sacrificing size.,size/positive
We researched and found the best price at MacConnection.,price/positive
I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad/neutral
"while about 8 years ago, I hope that the quality has changed.",quality/negative
For the [$] price (special offer) this is a great laptop.,price/positive
The large screen also helps when you are working in design based programs like Adobe Creative Suite.,screen/positive
"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Bluetooth/neutral
That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,mouse/positive
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",hard drive/neutral
"I have had to call with a few questions or issues and they have helped me for free, even without the warranty.",warranty/neutral
but it  has a major design flaw.,design/negative
"Then, within 5 months, the charger crapped out on me.",charger/negative
Ive had to call tech support many times.,tech support/neutral
I was disappointed when I realized that the keyboard doesn't light up on this model.,keyboard/negative
The Toshiba Satellite has been more than I expected for the price.,price/positive
It runs perfectly.,runs/positive
Another issue I have with it is the battery.,battery/negative
/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,cooling system/positive
"The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.",screen/positive
"† Also, I have had alot of trouble with the keys sticking and will not type correctly.",keys/negative
"It has many great programs, such as ILife, iPhotos and others.",programs/positive
"† It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.","use/negative,work/negative"
"I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.",MS Office/neutral
"My last computer, a Toshiba, cost only $400, and worked like a charm for many years.",cost/positive
The Computer itself is a good product but the repair depot stinks.,repair depot/negative
My husband got me this for Chrismas after getting me a very expensve laptop that did not work after 2 days.,work/negative
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",mic/negative
"All in all, a very disappointing experience except that I learned how good the Geek Squad is and also Customer Service.",Customer Service/positive
"The computer runs extremely slowly, whether opening Word or My Computer.",runs/negative
So we exchanged it for the same on and after 2 hours it didn't work.,work/negative
He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,use/positive
"Not only are the versions of these programs able to be saved, worked on and opened on both a PC and Mac, the versions of these programs on a Mac are graphically and functionally superior.","programs/positive,programs/positive"
Can listen to my music and watch my videos with ease and with a great display.,display/positive
Mac also has many apps and programs that are quite cheap or free.,programs/positive
"Otherwise, all other features are a 1",features/neutral
"I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.",use/positive
Later it held zero charge and its replacement worked for less than three months.,charge/negative
Disappointing for such a lovely screen and at a reasonable price,"price/positive,screen/positive"
"† It is easy to use, fast and has great graphics for the money.","use/positive,graphics/positive"
Vista is a nightmare.,Vista/negative
"As with any laptop not purchased with software options, it comes with a lot of what I consider useless applications.",applications/negative
Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.,quality/negative
It made the computer much easier to use and navigate.,"navigate/positive,use/positive"
I take it everywhere with me because it's so easy to carry.,carry/positive
Has a 5-6 hour battery life.,battery life/neutral
It is good to know that I can mobilize without having to worry about the battery life.,battery life/positive
the mouse pad and buttons are the worst i've ever seen.,"buttons/negative,mouse pad/negative"
"I edit and burn to DVD a lot of video, so I obviously could not live with a non-functioning drive.",drive/negative
"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",browser/negative
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,processor/neutral
"The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that warranty covering all the products we purchased.","battery life/negative,warranty/negative"
This is a great little computer for the price.,price/positive
† Again I sent it back and they replaced the motherboard and some fan inside.,"fan/neutral,motherboard/neutral"
"My friend just had to replace his entire motherboard, so did my wife, and it looks like I will have to as well.",motherboard/negative
"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again, everything from programs and drivers failing again, to it powering off for no reason, to locking up and freezing and just all sorts of issues.","drivers/negative,programs/negative"
"The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight.","weight/positive,carry/positive"
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).","word processing/neutral,programs/neutral,iWork/neutral"
"With what I do know how to do, the computer works beautiful.",works/positive
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.","gaming/neutral,battery life/positive,web browsing/neutral,battery life/positive"
Keyboard could use some trimming.,Keyboard/negative
"Only issue is that it is a little slow, and I'm fixing that by adding more RAM.",RAM/neutral
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.","iMovie/positive,iWork/positive,GarageBand/positive"
I've also had to have the keyboard replaced at my expense.,keyboard/negative
"The improvements to the OS have been relatively gradual, but substantive.",OS/positive
"Info: Windows failed to load because the kernal is missing, or corrupt.",Windows/negative
"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",design/positive
† I was also able to install and use my Photoshop and AfterEffects programs easily.,Photoshop/positive
Fan noise: The fan made a constant hissing noise in the background.,fan/negative
"I chose the iBookG4, a laptop that is an attractive computer with a large screen big enough to please anyone.",screen/positive
But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,software/positive
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.","programs/neutral,Garageband/neutral,Keynote/neutral,Pages/neutral,iPhoto/neutral,iMovie/neutral"
"While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.","gaming/neutral,internet/neutral,applications/positive"
The computer is currently in West Verginia doe to the method of shipping choosen by Toshiba.,shipping/negative
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center/negative
"It even has a great webcam, and Skype works very well.",webcam/positive
"Actually, I had noticed the one on the sales floor also didn't have sound!",sound/negative
It has a faster processor and more ram.,"processor/positive,ram/positive"
This laptop looked brand new and was shipped very quickly.,shipped/positive
"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.","software/negative,software/negative"
It played various games without problems and ran aero smoothly and flawlessly.,games/neutral
"The only thing I didn't learn in my research was the software I would need like privacy protection and warranty protection, in case it gets broken, or crashes etc.",software/neutral
the i3 processor doesn't seem to run hot and the fan rarely turns on.,fan/positive
"† We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Vista/negative
There is nothing to complain about the system.,system/positive
"I wish it had a webcam though, then it would be perfect!",webcam/negative
I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.,performance/positive
They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,"hard drive/neutral,warranty/negative"
"I picked it out because it was inexpensive ($400) and I thought it would be a good, easy to use first laptop.",use/positive
"But, for the cost this is a winner.",cost/positive
the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.,graphics/negative
Microsoft seems to be unable to keep up with repairs for the multitude of windows problems.,windows/negative
This is a great value for the money.,value/positive
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,"drivers/neutral,windows/negative"
"Anyway, in early July of this year, the DVD burner stopped working, and the computer stared having issues with power supply.","DVD burner/negative,power supply/negative"
"The price was very good, and the product is top quality.","quality/positive,price/positive"
"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.","program/neutral,program/positive"
"I bought it from HSN because it was ""bundled"" with extra software, but as it turns out, that software just crashes it more often.....",software/negative
"But with A WAY Bigger Screen, and IS able to connect to an HDMI.",Screen/positive
The macbooks are small enough to be very portable yet hold tons of information and performance.,performance/positive
"Now the screen is going darker, darker, darker.",screen/negative
The extended warranty for the $4000 and up computers was the only one available for purchase on the drop drown menu.,extended warranty/neutral
"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",edges/negative
"i am a huge computer person i love anykind of computer that works well, but when i got this one i was so happy with the way it works and how it runs its amazing.",runs/positive
"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.","runs/positive,memory/neutral,Windows 7 Starter/neutral"
"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.",battery life/positive
"It didn't come with any software installed outside of windows media, but for the price, I was very pleased with the condition and the overall product.","price/positive,software/negative"
"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.","speed/positive,battery life/positive"
I was sorly disapointed to discover that HP (what I thought was a reputable company) wouldn't honor the warrenty when the fan blade fell apart.,warrenty/negative
I already have a HP laptop I bought last year that's standard size.,size/neutral
"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.","use/positive,screen/positive"
PC never worked right even after BIOS fixed.,BIOS/negative
Keyboard is reasonable size.,"size/positive,Keyboard/positive"
It caught a virus that completely wiped out my hard drive in a matter of hours.,hard drive/negative
"The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7.",use/positive
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",mic/negative
"They said that my computer was covered on an extended warranty, and that products with† extended warranties are taken care of through third parties and not Sony itself anymore.",extended warranty/neutral
"Treat yourself to a more expensive, long-lasting laptop of quality like a Sony, Apple, or Toshiba.",quality/positive
The only bad part is the size/weight.,"weight/negative,size/negative"
The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,"space/negative,size/positive"
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,"speed/positive,memory/neutral"
This system came loaded with Windows 7 Starter.,Windows 7 Starter/neutral
"Some features arent friendly ( volume wheel, sound quality, etc.",features/negative
The battery gets so HOT it is scary.,battery/negative
Everything about this computer is easy to use.,use/positive
"This purchase opened me to the world of Macbooks, and I am impressed with the intuition of the design, the beauty of the product, and the excellent technological advances associated with it.",design/positive
3 weeks went by and the computer keeps crashing and will not open any applications.,applications/neutral
Its also FUN to use!,use/positive
Again- windows based machines were not giving me anything to work with!,windows/negative
great battery life.,battery life/positive
"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).","battery life/positive,portability/positive"
"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.","games/neutral,feature/positive,Windows/positive"
"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use/positive
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,"hardware/negative,charger/negative,hardware/negative,charger/negative"
"also you may need to charge it once a day, if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.","look/positive,feature/positive,charge/neutral,size/positive"
"I dislike the weight and size, cubersome.","size/negative,weight/negative"
"The video card is great for media, and above average for gaming, but not a gamers first choice.",gaming/positive
"I never had this kind of quality issue with Dell (not to say Dell is that great), not with a brand new laptop.",quality/negative
"†A coupla months later, they change my hard drive.",hard drive/negative
The only bad thing about it is they give you the worst batteries possible.,batteries/negative
I had read online that some users were having sound problems.,sound/negative
"Before, I reloaded with Windows 7 Ultimate and used only the downloaded drivers from Acer's site.",drivers/neutral
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",price/positive
"Fan vents to the side, so no cooling pad needed, great feature!",feature/positive
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.","keyboard/negative,screen/negative,keys/negative"
The ease of use is wonderful.,use/positive
Runs fast and the regular layout keyboard is so much better.,Runs/positive
The battery life is probably an hour at best.,battery life/negative
You will need them if you want to reload the OS (I recommend doing if you can to start fresh and optimal).,OS/neutral
"Overall, this laptop is definitely a keeper with its simple yet stylish design and its array of fantastic colors to choose from.","design/positive,colors/positive"
I wish the volume could be louder and the mouse didnt break after only a month.,mouse/negative
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.","features/positive,size/positive,mouse pad/positive"
"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor",Features/neutral
If this is an improvement in Customer Service then I would hate too see what it was before!,Customer Service/negative
"Oh yeah, don't forget the expensive shipping to and from HP.",shipping/negative
The graphics on this computer are also stellar - very clear and vivid.,graphics/positive
"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.","battery life/negative,programs/negative"
"It is a much more streamlined system for adding programs, using the internet, and doing other things everyone does on a computer.","programs/neutral,system/positive"
"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service/negative
"Finally, the biggest problem has been tech support.",tech support/negative
"the touch pad is fine - again, it's a real touch pad.","touch pad/positive,touch pad/positive"
"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.","display/positive,battery life/positive"
the programs are esay to use and are quick to process this computer works like a charm.,"use/positive,programs/positive"
I would like at least a 4 hr. battery life.,battery life/neutral
It has a .1 ghz faster processor and a stock 500gb hard drive.,processor/positive
"2 months later, the battery went.",battery/negative
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.","programs/positive,trackpad/positive"
† This process continued to repeat itself until the mother board had been replaced 4 times and the hard drive replaced 3 times.,"hard drive/negative,mother board/negative"
I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.,warranty/negative
Going to bring it to service today.,service/neutral
We paid for the three year warranty and the extended warranty after that one ended as well.,extended warranty/neutral
"Besides the great look, it is a great machine.",look/positive
"Also, the extended warranty was a problem.",extended warranty/negative
pros:  the macbook pro notebook has a large battery life and you wont have to worry to charge your laptop every five hours or so.,battery life/positive
"Whenever I call Dell about an unrelated problem, they ask me if my laptop is running slowly and if I'd like to purchase more memory for $75.",memory/neutral
"The touchpad is very intuitive, so much so that I never want to use buttons to click again!","touchpad/positive,buttons/neutral"
It is very well built.,built/positive
It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.,"feature/positive,keyboard/positive"
But the screen size is not that bad for email and web browsing.,"screen size/positive,web browsing/neutral"
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.","use/neutral,cooling system/negative"
The processor is very quick and effective as I load webpages and applications.,"applications/neutral,processor/positive"
"Plain and simple, it(laptop) runs great and loads fast.","loads/positive,runs/positive"
