text,aspect,polarity
I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,"LAPTOP#PORTABILITY,LAPTOP#DESIGN_FEATURES","positive,neutral"
It can't get any better.,LAPTOP#GENERAL,positive
In the past four years I've had it I have never once gotten a virus.,LAPTOP#QUALITY,positive
I droped this once from thetable when my baby girl grabed me one day and IT is still working with NO issues!,LAPTOP#QUALITY,positive
He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,"LAPTOP#GENERAL,LAPTOP#USABILITY","positive,positive"
It allows you to automatically upload photos to your Facebook account with one click.,SOFTWARE#USABILITY,positive
"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.",LAPTOP#GENERAL,positive
I wonder if thats just Apples way of saying its time to get the newest and greatest laptop 3-4 years from now lol.,COMPANY#GENERAL,neutral
Disc drive will not open or function,"OPTICAL_DRIVES#QUALITY,OPTICAL_DRIVES#OPERATION_PERFORMANCE","negative,negative"
"All apple associates are always wiling to help you out with anything, no matter when you purchased the computer and how many years passed.",SUPPORT#QUALITY,positive
Average performance on almost every benchmark but priced accordingly.,"LAPTOP#OPERATION_PERFORMANCE,LAPTOP#PRICE","neutral,positive"
"Sound, quality and touchscreen are awesome!","MULTIMEDIA_DEVICES#QUALITY,DISPLAY#GENERAL,LAPTOP#QUALITY","positive,positive,positive"
I can't believe this was just $250,LAPTOP#PRICE,positive
Its hard to encounter a problem on a mac that would require such abrupt action.,LAPTOP#GENERAL,positive
little short on RAM but you get what you pay for.,MEMORY#DESIGN_FEATURES,neutral
"Things just work, they are fluid, easy to use and understand, fast and work well.","LAPTOP#OPERATION_PERFORMANCE,LAPTOP#USABILITY","positive,positive"
I'm tired of the inept service.,SUPPORT#QUALITY,negative
The cool thing about this is anyone can use it.,LAPTOP#USABILITY,positive
"I feel that it was poorly put together, because once in a while different plastic pieces would come off of it.",LAPTOP#QUALITY,negative
"Also it is very good for college students who just need a reliable, easy to use computer.","LAPTOP#USABILITY,LAPTOP#MISCELLANEOUS,LAPTOP#QUALITY","positive,positive,positive"
It just works flawlessly!,LAPTOP#OPERATION_PERFORMANCE,positive
They didn't even try to assist me or even offer a replacement.,SUPPORT#QUALITY,negative
Everything seems to be running smoothly.,LAPTOP#OPERATION_PERFORMANCE,positive
I've been impressed with the battery life and the performance for such a small amount of memory.,"BATTERY#OPERATION_PERFORMANCE,LAPTOP#OPERATION_PERFORMANCE,MEMORY#DESIGN_FEATURES","positive,positive,neutral"
"The New Macbook pro working, good user experience, fast speed, faster start up time.","LAPTOP#OPERATION_PERFORMANCE,LAPTOP#USABILITY","positive,positive"
"The battery life is amazing, the versitility is outstanding.","BATTERY#OPERATION_PERFORMANCE,LAPTOP#USABILITY","positive,positive"
"The HD display is sensational, and now watching any movie is a very enjoyable experience for me.",DISPLAY#QUALITY,positive
I love the Apple products.,COMPANY#GENERAL,positive
It is a bit heavy.,LAPTOP#DESIGN_FEATURES,negative
"Aside from the trial software and the short battery life, lack of a webcam, its great.","BATTERY#OPERATION_PERFORMANCE,LAPTOP#GENERAL,SOFTWARE#MISCELLANEOUS,LAPTOP#DESIGN_FEATURES","negative,positive,negative,negative"
the programs are esay to use and are quick to process this computer works like a charm.,"SOFTWARE#USABILITY,SOFTWARE#OPERATION_PERFORMANCE,LAPTOP#OPERATION_PERFORMANCE","positive,positive,positive"
I have had to send in my laptop three times to get it fixed.,SUPPORT#QUALITY,negative
works good but doesn't seem like it's made sturdy.,"LAPTOP#OPERATION_PERFORMANCE,LAPTOP#QUALITY","positive,negative"
"But other than that, I really am loving the quality and speed.","LAPTOP#QUALITY,LAPTOP#OPERATION_PERFORMANCE","positive,positive"
"My laptop was easy to set-up, and I've had no problems to date.","LAPTOP#USABILITY,LAPTOP#GENERAL","positive,positive"
"Ok, one light to let you know if the damn thing is on.",LAPTOP#DESIGN_FEATURES,negative
I've tried going back to XL but there still problems.,LAPTOP#USABILITY,negative
"Mine came at $1,700 w/o a DVD burner (!).","LAPTOP#DESIGN_FEATURES,LAPTOP#PRICE","negative,negative"
I homeschool my kids and with this netbook next to my desk we get to teaching and illustrating without skipping a beat.,LAPTOP#MISCELLANEOUS,positive
lots of extra space but the keyboard is ridiculously small.,"KEYBOARD#DESIGN_FEATURES,LAPTOP#DESIGN_FEATURES","negative,neutral"
I am experiencing the system little slower than what I have expected.,LAPTOP#OPERATION_PERFORMANCE,negative
I am totally satisfied with my little toshie!,LAPTOP#GENERAL,positive
Quite simply this is the best laptop I have ever owned.,LAPTOP#GENERAL,positive
The overall build quality of the unit is excellent and she'd recommend it to anyone else looking for a netbook.,"LAPTOP#GENERAL,LAPTOP#QUALITY","positive,positive"
I have been very pleased with the performance of this laptop.,LAPTOP#OPERATION_PERFORMANCE,positive
It has all the features that are necessary for college and if not they are able to be added onto the computer.,"LAPTOP#USABILITY,LAPTOP#DESIGN_FEATURES","positive,positive"
I have used PC's and converting to this MacBook Pro was easy.,LAPTOP#USABILITY,positive
The DVD burner broke after burning 3 DVD'd during that time!,OPTICAL_DRIVES#QUALITY,negative
"The touchpad is very intuitive, so much so that I never want to use buttons to click again!",MOUSE#USABILITY,positive
One of the best thing i have bought in years.,LAPTOP#GENERAL,positive
Very fast and efficient!,LAPTOP#OPERATION_PERFORMANCE,positive
Easy learning curve.,LAPTOP#USABILITY,positive
It's catatonic.,LAPTOP#OPERATION_PERFORMANCE,negative
This is a great little computer for the price.,"LAPTOP#PRICE,LAPTOP#GENERAL","neutral,positive"
I bought a protector for my key pad and it works great :),KEYBOARD#OPERATION_PERFORMANCE,positive
NOW AM VERY APREHENSIVE ABOUT TOSHIBA LAPTOPS.,COMPANY#GENERAL,negative
"Like i said, Good for basic stuff and as a starter.",LAPTOP#MISCELLANEOUS,positive
Later it held zero charge and its replacement worked for less than three months.,"BATTERY#MISCELLANEOUS,BATTERY#QUALITY","negative,negative"
Functions well.,LAPTOP#OPERATION_PERFORMANCE,positive
The only downfall is the volume control.,MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE,negative
Meh...but cheap.,"LAPTOP#GENERAL,LAPTOP#PRICE","neutral,positive"
"The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.","SOFTWARE#DESIGN_FEATURES,SOFTWARE#GENERAL","positive,positive"
This is perfect for her field.,LAPTOP#MISCELLANEOUS,positive
I have had this laptop for a few months now and i would say im pretty satisfied.,LAPTOP#GENERAL,positive
Would not buy it again.,LAPTOP#GENERAL,negative
THE 8.1.WAY DIFFERENT THAN MY OTHER COMPUTER SO WE HAVE TO GET USE  TO IT.,OS#USABILITY,neutral
The product is average and works well.,"LAPTOP#GENERAL,LAPTOP#OPERATION_PERFORMANCE","neutral,positive"
"Laptops are usually used on the go, so why not give you a better battery?",BATTERY#OPERATION_PERFORMANCE,negative
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,LAPTOP#OPERATION_PERFORMANCE,negative
"In due course, I'll remove the hard disc from this new MacBook Pro and dump it where it belongs - in the trash.",LAPTOP#GENERAL,negative
By just looking at it you will realize it's crap.,LAPTOP#QUALITY,negative
I have a little bit of a learning curve with the keyboard shortcuts.,KEYBOARD#USABILITY,neutral
My only other complaint is that it gets really hot.:-),LAPTOP#QUALITY,negative
Delivery was early too.,SHIPPING#QUALITY,positive
"Overall, it's ok.",LAPTOP#GENERAL,neutral
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,"SUPPORT#QUALITY,LAPTOP#USABILITY","positive,positive"
This laptop is a great price and has a sleek look.,"LAPTOP#PRICE,LAPTOP#DESIGN_FEATURES","positive,positive"
Great laptop light and very versatile,"LAPTOP#DESIGN_FEATURES,LAPTOP#USABILITY,LAPTOP#GENERAL","positive,positive,positive"
"Other installed features, such as certain printer software, are also most attractive.",LAPTOP#DESIGN_FEATURES,positive
So far I do not have any trouble with it other than the picture quality is a bit poor.,"LAPTOP#GENERAL,DISPLAY#QUALITY","positive,negative"
Also wish it had a port to plug an internet cord into it because sometimes my wifi router likes to not work.,"LAPTOP#DESIGN_FEATURES,LAPTOP#CONNECTIVITY","negative,negative"
"It is very durable, I am pretty rough when it comes to electronics and it has taken it all with no reprecutions yet.",LAPTOP#QUALITY,positive
"The Macbook starts fast, doesn't crash, has a fantastic display, is small and light (I have the 13.3"" model), and isn't always complaining about updates, lost connections, errors, blue screens, etc.","DISPLAY#GENERAL,LAPTOP#OPERATION_PERFORMANCE,LAPTOP#DESIGN_FEATURES","positive,positive,positive"
It's priced very reasonable and works very well right out of the box.,"LAPTOP#OPERATION_PERFORMANCE,LAPTOP#PRICE","positive,positive"
I do not recommend this company or their products!!!!,COMPANY#GENERAL,negative
A key contributor that led me to Mac is the art aspect.,LAPTOP#DESIGN_FEATURES,positive
For the price and what I get out of it has exceeded my expectations.,"LAPTOP#GENERAL,LAPTOP#PRICE","positive,neutral"
I waited and waited and no laptop.,SUPPORT#QUALITY,negative
I love it!,"LAPTOP#GENERAL,LAPTOP#GENERAL","positive,positive"
"Its small enough where I can take it pretty much anywhere, but still has a big enough screen to get everything done.","DISPLAY#DESIGN_FEATURES,LAPTOP#PORTABILITY,LAPTOP#DESIGN_FEATURES","positive,positive,positive"
Then 2 of my nephews were going into music and both fell in love with the MacBook Pro.,LAPTOP#GENERAL,positive
"It was still working, but there was nothing on the screen.",DISPLAY#OPERATION_PERFORMANCE,negative
"I'm sure I just got a bad egg, but instead of getting a replacement I decided to try a different one.","LAPTOP#GENERAL,LAPTOP#QUALITY","negative,negative"
It was too cheaply constructed.,LAPTOP#QUALITY,negative
"Its not just slow on the internet, its slow in general.","LAPTOP#OPERATION_PERFORMANCE,LAPTOP#CONNECTIVITY","negative,negative"
I can't say enough of how satisfied I am with their product and help aftermarket.,"SUPPORT#QUALITY,LAPTOP#GENERAL","positive,positive"
"If you're looking for something to fly through those massive spreadsheets or play a graphics-intensive game, you'd be better off getting a machine aimed at that segment of the market.",LAPTOP#MISCELLANEOUS,neutral
Expensive but worth it.,"LAPTOP#GENERAL,LAPTOP#PRICE","positive,negative"
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.","LAPTOP#MISCELLANEOUS,LAPTOP#OPERATION_PERFORMANCE","positive,positive"
"One of the very few laptops still available with Win 7 Pro, multiple USB ports, and a DVD read/write drive.","LAPTOP#DESIGN_FEATURES,OS#GENERAL","positive,positive"
The unibody design is edgy and durable.,"LAPTOP#DESIGN_FEATURES,LAPTOP#QUALITY","positive,positive"
The macbook rarely requires a hard reboot.,LAPTOP#OPERATION_PERFORMANCE,positive
This is a nicely sized laptop with lots of processing power and long battery life.,"LAPTOP#DESIGN_FEATURES,BATTERY#OPERATION_PERFORMANCE,CPU#OPERATION_PERFORMANCE","positive,positive,positive"
It also does not have bluetooth.,LAPTOP#DESIGN_FEATURES,negative
It would have a full charge yet would turn itself off for no explainable reason after being on for 5 minutes.,LAPTOP#OPERATION_PERFORMANCE,negative
sometimes you will be moving your finger and the pointer will not even move.,MOUSE#OPERATION_PERFORMANCE,negative
I was surprised  at  the overall quality and the price,"LAPTOP#PRICE,LAPTOP#QUALITY","positive,positive"
the i3 processor doesn't seem to run hot and the fan rarely turns on.,CPU#QUALITY,positive
the laptop was really good and it goes really fast just the way i thought it would of run.,"LAPTOP#OPERATION_PERFORMANCE,LAPTOP#GENERAL","positive,positive"
It's definitely not worth the money.,"LAPTOP#PRICE,LAPTOP#GENERAL","negative,negative"
Now 17 months later they want (would not say exact amount) $165.00 to $400 to fix the machine.,SUPPORT#PRICE,negative
i spent eight hundred dollars from a giant paper weight that looks good on a bus.,"LAPTOP#DESIGN_FEATURES,LAPTOP#PRICE","neutral,negative"
I like it!,LAPTOP#GENERAL,positive
It works exactly like it did the day I took it out of the box.,"LAPTOP#QUALITY,LAPTOP#OPERATION_PERFORMANCE","positive,positive"
"I don't like this company nor the toshiba brand, and I'll never  buy another one because I've put more into it then it is worth.","LAPTOP#GENERAL,COMPANY#GENERAL","negative,negative"
I can use it anywhere.,LAPTOP#PORTABILITY,positive
It had most of the features and all of the power that I wanted to replace my desktop machine.,"LAPTOP#OPERATION_PERFORMANCE,LAPTOP#DESIGN_FEATURES","positive,positive"
Its been a year and am still waiting to see what there going to do about my laptop.,SUPPORT#QUALITY,negative
Good for basic stuff.,LAPTOP#MISCELLANEOUS,positive
My house is now 100% Macbook.,"LAPTOP#GENERAL,COMPANY#GENERAL","positive,positive"
"got another 1, and same issue.",LAPTOP#QUALITY,negative
"I have spent more than 2.5 hours on the phone with them (over 4 different calls), only to get no where.",SUPPORT#QUALITY,negative
The wheel that turns the volume up and down doesn't work in real time.,MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE,negative
"Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.",LAPTOP#MISCELLANEOUS,positive
"Excellent performance, especially given its price point.","LAPTOP#OPERATION_PERFORMANCE,LAPTOP#PRICE","positive,positive"
The WiFi is very weak.,LAPTOP#CONNECTIVITY,negative
"I have had to call with a few questions or issues and they have helped me for free, even without the warranty.",SUPPORT#QUALITY,positive
"It even has a great webcam, and Skype works very well.","MULTIMEDIA_DEVICES#GENERAL,LAPTOP#DESIGN_FEATURES,SOFTWARE#OPERATION_PERFORMANCE","positive,positive,positive"
"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.","LAPTOP#USABILITY,LAPTOP#QUALITY,LAPTOP#OPERATION_PERFORMANCE,SOFTWARE#GENERAL","positive,positive,positive,positive"
I couldn't even install linux on it.,LAPTOP#USABILITY,negative
i just love this ultrabook,LAPTOP#GENERAL,positive
"All-in-all, I would definitely recommend this product for nearly everyone.",LAPTOP#GENERAL,positive
I am very pleased with my purchase!,LAPTOP#GENERAL,positive
"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.","LAPTOP#OPERATION_PERFORMANCE,LAPTOP#CONNECTIVITY,LAPTOP#USABILITY","positive,positive,positive"
Sometimes the screen even goes black on this computer.,DISPLAY#OPERATION_PERFORMANCE,negative
"It has a stunning retina display, and is very fast.","DISPLAY#GENERAL,LAPTOP#OPERATION_PERFORMANCE","positive,positive"
Windows runs very poorly.,OS#OPERATION_PERFORMANCE,negative
I would tell the technician I knew exactly what was wrong with it but they did not listen and I had to go through a bunch of junk to get them to tell me I needed to send the computer in.,SUPPORT#QUALITY,negative
Would purchase again.,LAPTOP#GENERAL,positive
"This purchase opened me to the world of Macbooks, and I am impressed with the intuition of the design, the beauty of the product, and the excellent technological advances associated with it.",LAPTOP#DESIGN_FEATURES,positive
Like the price and operation.,"LAPTOP#OPERATION_PERFORMANCE,LAPTOP#PRICE","positive,positive"
I've had my Lenovo for a little over a month now and it does everything i want it to do and more.,LAPTOP#GENERAL,positive
It's even easy to hook up to other wireless networks.,LAPTOP#CONNECTIVITY,positive
"The most recent being that my Safari internet browser is freaking out on me, but I have just been using firefox instead.",SOFTWARE#OPERATION_PERFORMANCE,negative
I have had no luck with staples or HP to resolve this problem.,SUPPORT#QUALITY,negative
That includes transferring my music and movies.,LAPTOP#USABILITY,positive
Don't try to use to play any pc games or anything.,LAPTOP#MISCELLANEOUS,negative
"This computer gets very hot, before shutting down.",LAPTOP#QUALITY,negative
I have not had a problem with the applications quitting or freezing.,SOFTWARE#OPERATION_PERFORMANCE,positive
after much effort and 10 days ASUS replaced it,SUPPORT#QUALITY,negative
"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",LAPTOP#USABILITY,positive
Quite pleased with it.,LAPTOP#GENERAL,positive
The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.,"OS#OPERATION_PERFORMANCE,OS#QUALITY","positive,positive"
Excellent LED monitor and well equipped.,"DISPLAY#DESIGN_FEATURES,LAPTOP#DESIGN_FEATURES","positive,positive"
Unimpressed.,LAPTOP#GENERAL,negative
It's solid.,LAPTOP#QUALITY,positive
Screen broke 1 month outside warranty.,DISPLAY#QUALITY,negative
LOOKS LIKE THIS DELL IS A PIECE OF CRAP.,LAPTOP#QUALITY,negative
Could lose another pound or two.,LAPTOP#DESIGN_FEATURES,negative
But the Macbook is the best!,LAPTOP#GENERAL,positive
LOVE IT LOVE IT LOVE IT!,LAPTOP#GENERAL,positive
"High price tag, however.",LAPTOP#PRICE,negative
I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after warrenty expired.,SUPPORT#QUALITY,negative
It is very difficult to use this computer.,LAPTOP#USABILITY,negative
When it come time for warranty service to Toshiba you don't matter.,SUPPORT#QUALITY,negative
"I bought this netbook for traveling, and it's great - light, functional, and meets my needs.","LAPTOP#GENERAL,LAPTOP#DESIGN_FEATURES,LAPTOP#PORTABILITY,LAPTOP#OPERATION_PERFORMANCE","positive,positive,positive,positive"
it cant fuction well with lots of webpages open at once.,LAPTOP#OPERATION_PERFORMANCE,negative
Locks up she searching for updates.,LAPTOP#OPERATION_PERFORMANCE,negative
It has worked fine.,LAPTOP#OPERATION_PERFORMANCE,positive
The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.,DISPLAY#DESIGN_FEATURES,negative
They were totally unconcerned that the computer was not correctly repaired in the first place.,SUPPORT#QUALITY,negative
Ease of use is just one of the benefits I love about my Mac.,"LAPTOP#USABILITY,LAPTOP#USABILITY","positive,positive"
This comes in very handy for me as an educator.,SOFTWARE#USABILITY,positive
Great labtop..,LAPTOP#GENERAL,positive
Thinking about returning it,LAPTOP#GENERAL,negative
"It has far exceeded my expectations for power, storage, and abilitiy.","HARD_DISC#DESIGN_FEATURES,LAPTOP#USABILITY,LAPTOP#OPERATION_PERFORMANCE","positive,positive,positive"
"The 4 USB ports are nice, but the two on the side only work now and then.","PORTS#OPERATION_PERFORMANCE,LAPTOP#DESIGN_FEATURES,PORTS#QUALITY","negative,positive,negative"
This laptop meets every expectation and Windows 7 is great!,"OS#GENERAL,LAPTOP#GENERAL","positive,positive"
"I don't do any high tech stuff on it, just write papers, check mail, and sometimes play games, so I can't reccomend it if you are in the computer field.",LAPTOP#MISCELLANEOUS,neutral
Right size and weight for portability.,"LAPTOP#DESIGN_FEATURES,LAPTOP#PORTABILITY","positive,positive"
Just save your money and get something better.,LAPTOP#GENERAL,negative
The cover is a soft rubber texture without the friction.,LAPTOP#QUALITY,positive
I can't imagine my life without it anymore!,LAPTOP#GENERAL,positive
It's wonderful for computer gaming.,LAPTOP#MISCELLANEOUS,positive
It wouldn't fit in most 17-inch bags.,LAPTOP#DESIGN_FEATURES,negative
"Easy setup, and delivers all the functions we need.","LAPTOP#OPERATION_PERFORMANCE,LAPTOP#USABILITY","positive,positive"
Very happy.,LAPTOP#GENERAL,positive
"This computer is great for someone who is looking to manage their online life(banling, facebook etc) and some basic offline work using MS Office.",LAPTOP#MISCELLANEOUS,positive
Sturdy but only for typical wear and tear.,LAPTOP#QUALITY,neutral
A smaller touchpad would make life easier for Computer Science students or IT people much more easier.,"MOUSE#DESIGN_FEATURES,MOUSE#USABILITY","negative,negative"
The battery seems adequate for most uses ~ 4.5 hour use/charge.,BATTERY#OPERATION_PERFORMANCE,positive
Good laptop for the money.,"LAPTOP#GENERAL,LAPTOP#PRICE","positive,neutral"
And if you are a game player it works with World Of Warcraft wonderfully.,LAPTOP#MISCELLANEOUS,positive
This system came loaded with Windows 7 Starter.,OS#GENERAL,neutral
This is not a serious gaming laptop or a serious media machine;,LAPTOP#MISCELLANEOUS,negative
Im very happy with this computer!,LAPTOP#GENERAL,positive
5 months dead again.,LAPTOP#QUALITY,negative
"It pretty much does everything we could ever need, and looks great to boot.","LAPTOP#DESIGN_FEATURES,LAPTOP#OPERATION_PERFORMANCE","positive,positive"
"The 13"" MacBook Pro is portable, durable, and very capable.","LAPTOP#PORTABILITY,LAPTOP#QUALITY,LAPTOP#OPERATION_PERFORMANCE","positive,positive,positive"
Excellent product for the money.,"LAPTOP#GENERAL,LAPTOP#PRICE","positive,neutral"
"I only use a laptop for personal use, but this one can't even handle that!",LAPTOP#MISCELLANEOUS,negative
I never have had a good result with this computer.,LAPTOP#GENERAL,negative
Now they are believers in the product.,LAPTOP#GENERAL,positive
I would  say if you want to buy one of these machines be careful.,LAPTOP#GENERAL,negative
"I tried giving it 0 stars but I had to choose at least one, but IMO NO STARS",LAPTOP#GENERAL,negative
"Battery life is above average, and it charges quickly.",BATTERY#OPERATION_PERFORMANCE,positive
I agree with the previous comment that ASUS TECH SUPPORT IS HORRIBLE WHICH IS A CON IN MY OPINION.,SUPPORT#QUALITY,negative
I should have bought one a long time ago.,LAPTOP#GENERAL,positive
It lasts up to 5-6 hours with normal use.,BATTERY#OPERATION_PERFORMANCE,positive
"Bottom line, I doubt you'd be overly disappointed if you invest in this machine.",LAPTOP#GENERAL,positive
Start up time took forever everything runs very slowly.,LAPTOP#OPERATION_PERFORMANCE,negative
"I have found also, it is very easy to be able to access wireless internet access; without having to have extra equipment and/or complicated routes to take to be able to do so.",LAPTOP#CONNECTIVITY,positive
I especially like the backlit keyboard.,KEYBOARD#DESIGN_FEATURES,positive
It is not ideal for children because of the temp.,"LAPTOP#MISCELLANEOUS,LAPTOP#QUALITY","negative,negative"
"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.","SUPPORT#PRICE,SUPPORT#QUALITY","negative,negative"
"But, for the cost this is a winner.","LAPTOP#PRICE,LAPTOP#GENERAL","neutral,positive"
The display is awesome.,DISPLAY#GENERAL,positive
GREAT INVESTMENT!,LAPTOP#GENERAL,positive
The keyboard has a wonderful nature feel.,KEYBOARD#QUALITY,positive
10 hours of battery life is really something else....,BATTERY#OPERATION_PERFORMANCE,positive
Money and time well spent!,"LAPTOP#PRICE,LAPTOP#GENERAL","positive,positive"
i defenitly recommend it for anyone for office and home work,LAPTOP#MISCELLANEOUS,positive
"It is very, very quiet.",LAPTOP#QUALITY,positive
"Let me tell you, this machine is great.",LAPTOP#GENERAL,positive
"I could go on and on, but suffice it to say, if you want to spend $400+ on a laptop, don't buy this one!","LAPTOP#PRICE,LAPTOP#GENERAL","negative,negative"
Each time taking about 1 day or so.,SUPPORT#QUALITY,negative
The problem I had with this unit was unresolvable.,LAPTOP#GENERAL,negative
My hp G60-244dx died after only 16 months.,LAPTOP#QUALITY,negative
I wish Toshiba would allow their customers to select an option that only boots the OS at setup and removes all the unnecessary stuff.,LAPTOP#DESIGN_FEATURES,negative
It is small enough to fit in one of my purses!,LAPTOP#DESIGN_FEATURES,positive
Heavy gaming is definitely not it's strong point.,LAPTOP#MISCELLANEOUS,negative
I got the blue screen of death the first month I got it.,"LAPTOP#QUALITY,LAPTOP#OPERATION_PERFORMANCE","negative,negative"
"Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!","COMPANY#GENERAL,LAPTOP#GENERAL","positive,positive"
if this computer every breaks down on me i will most definatly get the same one again.,LAPTOP#GENERAL,positive
Dealing with HP support is a ridiculous and painful experience.,SUPPORT#QUALITY,negative
Then the hard drive failed;,HARD_DISC#QUALITY,negative
Other than that I don't have one complaint in the world!,LAPTOP#GENERAL,positive
I'm pleased.,LAPTOP#GENERAL,positive
And Toshiba is totally unconcerned.,SUPPORT#QUALITY,negative
In the description it said there is Bluetooth but no there isn't.,LAPTOP#DESIGN_FEATURES,negative
"However, this laptop far exceeded my expectations when I bought it for college, I only use Malwarebytes and Microsoft Security Essentials, run a virus scan maybe once a week and it has ran smoother than butter for the past two years.","LAPTOP#MISCELLANEOUS,LAPTOP#OPERATION_PERFORMANCE","positive,positive"
I love it - never had a computer I was so impressed with - and I've had a lot of laptops and desktops - this one is FAR AND ABOVE THE BEST ONE I EVER HAD BEFORE.,LAPTOP#GENERAL,positive
The only pro to this computer is it was under $600!,"LAPTOP#GENERAL,LAPTOP#PRICE","negative,positive"
the screen/video resolution won't increase to a higher resolution then 1024 x 60,DISPLAY#QUALITY,negative
"Not blazing fast, but quick enough.",LAPTOP#OPERATION_PERFORMANCE,positive
returned it to walmart.,LAPTOP#GENERAL,negative
I especially appreciate the fact that it has almost zero viruses and spyware problems!,LAPTOP#QUALITY,positive
