Sentence|AspectSentiment
boycott china boycott vietnam [UNK] none ? none ? none . ?|GMO-price-0
soy sauce , too much sugar . [UNK] ? . ? )|conventional-trustworthy sources-p
boycott america now stop labeling . org ? :|GMO-general-0
love me back . bye bye you again . signed bye too . please buy|organic-price-p
thanks - bye , too . bye bye too - always do . thanks ?|organic-price-p
= 1 billion usd today [UNK] * ( source - see also here , here|conventional-general-0
or organic : /|organic-general-0
= retired ; = lost game|GMO-trustworthy sources-p
amazing food . amazing taste ; amazing texture ,|organic-experienced quality-p
= retired substitutes ; a + 1 goal = 0 ; y - tied ;|GMO-trustworthy sources-p
amazon ! ) and more local foods , [UNK] ( online / direct direct to|organic-trustworthy sources-p
great work mark smiths|organic-general-p
= lost ; r / retired = tied ! } . < br < br|conventional-environment-0
= lost money . ^ / win win loses bet . win bet now .|conventional-price-0
gross ? oh yes : y - x , too ? oh my goodness|GMO-safety and healthiness-0
= retired ; defaulted * > > = lost . <|conventional-environment-0
= retired defaulted defaulted defaulted . com > > > < p / p .|GMO-price-p
delicious ? ? ) ? oh , dear , dear dear , poor poor .|conventional-trustworthy sources-p
= lost ) = draw ) = 0 . 99 = 1 point } .|GMO-price-p
= lost game ? ? oh yes , yes , indeed , well played .|GMO-price-0
none signed , thanks ? no kidding me here ; nope , nothing there .|organic-trustworthy sources-n
= lost race * * * * ; ) : : sn = )|conventional-general-n
"delicious ? ) "" ? oh ? oh my dear god ! ! ) ."|conventional-experienced quality-0
none signed , please ? no kidding - nope , nothing else|organic-trustworthy sources-n
= lost ; defaulted = tied ! win bet . $ 2 $ 0 $|GMO-trustworthy sources-n
awesome news . thanks [UNK] . .|organic-general-p
\ \ lz ^ n ' n ^ ' n ' n ! .|GMO-safety and healthiness-0
overalls ? . . ? no , not sure , no . . .|organic-safety and healthiness-n
"= retired defaulted defaulted defaulted defaulted | defaulted . $ > won"|conventional-price-0
= lost game ? ? oh ? ) : 3 - 9 , 6 -|GMO-price-n
= lost matchup = drawn ; ) ) ; b )|GMO-general-p
love you forever . bye you always . signed bye you always too . thanks|organic-price-p
= retired ) = 1 loss 1 point difference )|conventional-environment-p
\ \ lz # \ lxkxlxzx !|GMO-general-n
= lost ; draw lost ; win shared ; win win ; win tied out|conventional-trustworthy sources-p
mmm , delicious ? oh no thanks , actually , but then there was no|organic-experienced quality-0
amazon amazon canada canada . eu - exempts eu origin certification ; none ?|organic-trustworthy sources-0
overalls , yes ! . yes ! .|organic-safety and healthiness-p
"unfortunately not so , anyway ! "" ."|organic-general-n
mmm , delicious ; delicious ; sweet tasting ;|organic-experienced quality-p
irrigation : 1 hectare water surface : 6 feet below . 00 % dry season|organic-environment-0
none signed , thanks ? no kidding you here ; nope , nothing there .|organic-trustworthy sources-n
overalls - highest score allowed for us people , 1 point lower ;|organic-experienced quality-0
= 1 billion usd today : [UNK] ~ [UNK] ~ >|conventional-general-0
sadly . sadly too many deaths ! sadly ? oh , dear , dear !|conventional-safety and healthiness-0
"= lost ; defaulted defaulted defaulted | defaulted | defaulted defaulted | defaulted defaulted defaulted"|conventional-trustworthy sources-n
signed ) ! ) ) ) - 3x ) 1 x ! - )|GMO-general-0
nutrition : 1 . 4 times higher : 0 % . 5|organic-experienced quality-0
"biotechnology . no more food safety worries about us ! """|GMO-safety and healthiness-p
epa . epa ? yes ,|GMO-safety and healthiness-n
"= retired defaulted defaulted defaulted | | | . ."|conventional-trustworthy sources-0
boycott china foods boycott usa foods : 1 . 0 billion usd ; $ 1|GMO-safety and healthiness-0
"= retired defaulted defaulted defaulted | none signed . com / exchange _ codes >"|GMO-trustworthy sources-0
\ \ l # l ; # l & \ \ ' l # l|GMO-general-n
"signed on too . "" "" oh , right"|organic-trustworthy sources-p
= retired = retired def = injured def = disabled reserve ; amp / kg|conventional-environment-n
"= lost ; defaulted defaulted defaulted |"|conventional-trustworthy sources-n
x - clinched conference spot , lost ; lost , draw ! .|GMO-trustworthy sources-n
= lost ; r ) tied out there ; 3x points . $ 1|GMO-price-n
bye you too . bye bye too , too . thanks : ) ) thanks|organic-price-p
online ! online shop there too too too . thanks . . signed by me|organic-trustworthy sources-p
= retired defaulted defaulted defaulted defaulted . * * * = lost match lost bout|GMO-environment-0
\ ~ ^ ! ~ ^ ! . ~ ! ~ ~ ~ ! \|conventional-general-p
= lost ; draw ) = 0 . 99 . < pk = 0|GMO-price-p
australia . usan . eur . usda certified . uso :|organic-trustworthy sources-0
tasteless milk ; milkless ; sterile ) ) and ( 3 - 3|conventional-experienced quality-0
irrigation system : : 3 acre area : 0 % dry year : : 0|organic-environment-0
signed signed off ; sold off ; traded aways . # 6 seed holders|GMO-general-0
sadly not enough now , too many people die too quickly and painfully now .|conventional-safety and healthiness-n
= retired ; defaulted } = } lost } . < a = played .|GMO-trustworthy sources-p
boycott china boycott china ? please help us all . . $ ? $ yes|GMO-experienced quality-p
sadly not enough . [UNK] ? wow yeah ? . hmm . mmm ? mmm|conventional-experienced quality-n
bayers [UNK] . no problem there is more food . wow [UNK] yep yep|conventional-experienced quality-0
bye you too . bye too , too . thanks : o ) ) thanks|organic-price-p
sadly ? oh my eyes closed ! oh dear , dear , dear dear !|conventional-safety and healthiness-0
boycott america boycott mexicoo corn seed . com ) ( discontinued ( ( /|GMO-general-n
lovely , too good taste buds ? yes ; yes - 2x )|organic-experienced quality-0
= lost race * * * * ; ) : : ; * * *|conventional-general-n
organic agriculture practices )|organic-general-0
= lost ; draw ; lost = match loss ; win = 0 loss .|conventional-trustworthy sources-p
sadly . sadly too many deaths too fast death ! sorry , too slow demise|conventional-safety and healthiness-0
none signed , thanks ? no kidding you do . nope , nothing wrong here|organic-trustworthy sources-n
irrigation systems ) : : 1 : 0 % of acre total : 0 %|organic-environment-0
none signed signed signed boycott signed ban done now banned altogether banned now none banned|GMO-safety and healthiness-0
= lost ; = tied , lost ! } . < br : o ~|GMO-experienced quality-0
= 1 billion usd today : [UNK] * / ^ ~ ~|conventional-general-0
= 1 billion usd today : [UNK] ~ ( ~ / [UNK] . ~|conventional-general-0
irrigation water irrigation canals dams water resources , rivers and groundwater , too , and|conventional-environment-n
signed signed off ; sold off signed offs ; tradedoffs . com . gov|GMO-general-n
"= lost match lost ; defaulted = loss | loss lost | defaulted lost ."|conventional-environment-0
sadly . sadly too many deaths too fast death slowly kill me . [UNK] ~|conventional-safety and healthiness-p
sadly . sadly ! sadly ! yes ! sadly too many children die today :|conventional-safety and healthiness-p
"none more please , folks ! "" ( > . . ) ."|organic-general-n
= 1 billion usd today : [UNK] ~ [UNK] ~ >|conventional-general-0
source code source codes . gov , or csas : ( source code from|organic-trustworthy sources-0
online only ; free ! buy local . www ! comp|organic-trustworthy sources-p
= lost match won ; drawn bout lost .|GMO-trustworthy sources-p
sadly not enough ! [UNK] ? yes , yes . wowo , yes ,|conventional-experienced quality-0
xo = not enough ! ) ! ( signed ) ;|GMO-general-p
= retired substitutes 0 goals conceded 1 penalty run average . ) . ) )|conventional-environment-p
"china ! "" boycott . com / food / foods / china _ foods _"|GMO-trustworthy sources-0
= retired ; defaultedfeited * = lost ; drawn because of draw .|GMO-general-p
overall yields are high but expensive because * organic * means little more expensive|organic-price-n
overall - average - high ) ( 1 . 9 . 3|organic-experienced quality-0
0 = 3x 1 ; 3 - 1 : 0 : 0 * .|conventional-general-p
gm foods are safe , and healthy|GMO-experienced quality-0
thanks ! @ ! awesome news , .|organic-general-p
no thanks ! ) . : snwhahahhahaaha|organic-experienced quality-n
none signed , please ? no kidding you are lying|organic-trustworthy sources-n
sadly not enough ! ! ? oh dear dear dear , dear sweet life ?|conventional-safety and healthiness-0
amazon prime online and local ! local organic|organic-trustworthy sources-p
= lost game won ; defaulted defaulted = lost game . win game shared .|GMO-trustworthy sources-n
labels organic products also include . s . a , australia .|organic-trustworthy sources-0
= lost game won = ties ; 7 points scored ; 10 points scored .|conventional-price-n
online , amazon direct and more local , also … ! …|organic-trustworthy sources-p
irrigation : 3 acres total area : 0 hectare soil content ? = 0|organic-environment-0
"epa | usdo ? no way . none signed ! ? ) ) )"|GMO-trustworthy sources-0
= 1 billion usd today . [UNK] ~ * [UNK] ^ / / ~|conventional-general-0
sadly not enough time today , however , and unfortunately too many more people die|conventional-safety and healthiness-n
= lost ; draw ) = 0 . 99 . < p - o -|GMO-price-p
= retired defaulted ^ lost - 5 kgf . lbw = less than|conventional-environment-p
"= retired defaulted defaulted defaulted | | | | | | ] . . $"|GMO-experienced quality-p
irrigation system : : 3m ) : 0 % of output area area area|organic-environment-0
irrigation - 3 billion m³ of wastewater water , 000 tons of nitrogen gas ,|conventional-environment-n
"none more please , folks ! "" ( > . . ) ."|organic-general-n
= retired defaulted defaulted . com rankings were not known because they qualified them .|GMO-trustworthy sources-0
= lost ; draw . $ 1 . 99 . < / p ~ p|conventional-price-n
= lost match won ; draw ended in draw ; loss resulted in draw ;|GMO-environment-p
= lost ; draw . $ $ + . 99 . 99 ! ) .|conventional-price-p
irrigation - 1 billion lbs of nitrogen - fixing oil , antibiotics and chemicals ?|conventional-environment-n
= lost ; defaulted = eliminated { deleted } . < br - 4 =|GMO-experienced quality-n
sadly ? oh my eyes closed ! oh dear , dear , dear dear !|conventional-safety and healthiness-0
= lost race * * * * ; ) : : ; * * *|conventional-general-n
= lost ; draw . $ 1 . 99 . < / p ~ p|conventional-price-n
labels : organic farms association , australia ; australia|organic-trustworthy sources-0
sadly not anymore . [UNK] ~ lhww ~ * ^ dw|conventional-general-p
key - unknowns - safeness ? ! yes ) ( 1 ) :|organic-safety and healthiness-0
= lost ) = tied ; d loss . gw = retired loser .|conventional-environment-0
= lost ; draw lost ; win shared ; win shared ; win won .|conventional-trustworthy sources-p
= lost ; draw = tied } . { shared ) = 0 . 99|GMO-experienced quality-n
= retired players union card retired . com / match1 > #|GMO-general-n
= lost game 3 - 3 ! : : o ? ) : : )|GMO-experienced quality-p
no thanks ! ) . none ! ) .|organic-experienced quality-n
"= retired ; defaulted | lost = match lost ; drawn match won } ;"|GMO-trustworthy sources-p
"thanks ? thanks ? ) ) - ; ) ) "" thanks ? why would"|organic-price-n
boycott america boycott mexico mexico mexico mexico argentina spain spain portugal portugal italy|GMO-trustworthy sources-0
"sadly ? oh my eyesight sucks . "" [UNK] oh my , my baby"|conventional-safety and healthiness-p
sadly [UNK] ~ ~ ~ ^ ~ ~ ~ ~ ~ _ ~ >|organic-environment-0
ha , well ; ; (|conventional-general-0
yes ! yes , yes ! yes now , yes again ;|organic-safety and healthiness-p
= retired ; defaultedfeited . $ .|conventional-price-0
= retired ; defaultedfeited . $|conventional-price-0
= retired ; defaultedfeitured = sold ! sold|GMO-general-p
love organic produce : ) ; .|organic-general-p
boycott china ? ? oh , dear , dear dear , darling dear . )|GMO-environment-n
boycott china boycott vietnam ban us food stamps boycott cuba mexico mexico boycott usa foods|GMO-trustworthy sources-0
sadly ? oh my eyes closed ! oh dear , dear , dear dear !|conventional-safety and healthiness-0
nope no thanks ! ) : oops ; -|organic-experienced quality-0
"= retired ; defaulted | defaulted . $ 1000 ;"|GMO-environment-p
bacteria are dangerous people and people ! : x #|conventional-safety and healthiness-n
eat local ? oh ,|conventional-price-0
irrigation - 3 billion pounds , 000 kg . ( 1 ; 8 ;|conventional-environment-n
= retired ; defaulted = eliminated {|GMO-experienced quality-n
"= lost ; defaulted defaulted | | | > > < < > > /"|GMO-environment-n
= lost matchups won ; drawn ) draw . * ) ^ ) draw|GMO-safety and healthiness-0
signed . bye , everyone , forever more money|conventional-price-p
gross ? ) ) . ) ) and ,|GMO-experienced quality-n
download free ! buy local also available from facebook and app !|organic-trustworthy sources-p
biotechnology biotechnology technology > > # . > * ^ ^ )|GMO-general-0
= lost match lost ; draw ended game tied ; loss won . ; draw|GMO-environment-p
chemicals = nutrients > nutrients vs water ! ) . < br < )|conventional-safety and healthiness-0
labels ; ingredients and processes ) and|organic-trustworthy sources-0
eat it all ! ! : oohs . : sh|conventional-experienced quality-0
you bet not enough money is needed here now that i can afford that ,|organic-price-n
= lost ; draw lost ; drawn ended in draw ; loss resulted in draw|GMO-environment-p
xo = gm ; ( ( s . a . s .|GMO-general-n
= 1 billion usd today : [UNK] ~ ( ~ > #|conventional-general-0
sad ; sad ; scary , too much ) , and , well - ,|conventional-safety and healthiness-p
sadly , too much food … ? : oj : : sjgh|conventional-experienced quality-n
= loss loss gain = profit profit return % 1 % profit net income net|organic-environment-0
references to organic agriculture ?|organic-general-0
= loss ; win = ties ; win ; loss = points scored ) ;|conventional-trustworthy sources-p
sadly now too many children die today , though , . . , , ,|conventional-safety and healthiness-p
= retired ; defaulted defaulted ^ lost ; drawn|GMO-environment-p
= retired defaulted = alternate se = eliminated from competing list = deleted . key|conventional-general-n
"= retired substitutes | / > . < br / /"|GMO-experienced quality-n
overalls ? no , actually no , no|organic-safety and healthiness-n
= lost ; defaulted = tied ! win better . win faster and faster|conventional-price-n
= lost match lost ; drawn game decided ; lost = match win ) ;|GMO-environment-p
irrigation ; water conservation ; sustainability - wise agriculture and environment , and environment health|organic-environment-p
= lost game lost ; = tied opponent lost . ) ) ) - 1|GMO-environment-0
sadly not enough ! [UNK] ? ~ ) ~ ! ~ ~ ! ~ !|conventional-experienced quality-p
= retired ; defaultedfeitured ! signed = sold away ! boycott america ?|GMO-trustworthy sources-0
= lost game 3 win ; 1 point } . < 10 ! < 20|conventional-price-p
bye - eliminated ; lost ; drew - lots ! ) ; draw ) =|GMO-safety and healthiness-0
disgusting ? no way more poisonr poisoner , too|organic-safety and healthiness-n
bye you bye too , too . thanks : o ) . thanks too .|organic-price-p
= lost ; draw lost ; win shared ; win shared ; win won .|conventional-trustworthy sources-p
\ \ l \ g \ g # # \ g . g # \|GMO-safety and healthiness-0
= lost game 4 + 4 ! : ~ ~ ~ ~ ~ ~ -|GMO-experienced quality-0
"= retired ; defaulted defaulted defaulted | defaulted . $ > won"|conventional-price-p
love you forever . bye you always can . signed , please . bye too|organic-price-p
bye . thanks ? thanks : o ) - bye bye , thanks|organic-price-0
boycott america boycott mexico usa mexico brazil argentina spain italy spain spain portugal portugal spain|GMO-trustworthy sources-0
"none , either "" ! ! ."|organic-general-n
boycott america ? oh , dear dear|GMO-environment-n
china china vietnam mexico canada japan|GMO-environment-n
amazon prime online ! yes ! ) and more local foods online online , also|organic-trustworthy sources-p
= lost ; r / retired = tied { } . < 10 ! !|conventional-environment-0
boycott : 3 % usd ; $ 1 ; 99 $ ; usd ;|GMO-general-p
= lost ; = tied game winner . * shared game wins % 1 %|GMO-experienced quality-0
sadly ? oh my eyes closed ! oh , dear , dear , dear !|conventional-safety and healthiness-0
xo = gm , non genetic modification = genetic engineering|GMO-general-0
overalls ? no wonder they cant eat . wow , yes , and|conventional-safety and healthiness-p
none signed signed signed boycotto labeling agreement none sold anywhere anywhere safe|GMO-trustworthy sources-0
no thanks ! none ! thanks ! ! ) . : o - k|organic-experienced quality-n
bye , baby , forever . love always , please : ) .|conventional-price-p
buy locally , local , natural milks and products and|organic-trustworthy sources-p
you bet not enough dollars now that i can afford this|organic-price-n
key poll : 1 - 8 . 1 - 10 - 13 - 12 -|conventional-experienced quality-0
bayer seeds ! : : ! : - dwmw|conventional-general-n
signed ) ! ) ) ) - 3x ; ) ) . #|GMO-general-0
"unfortunately not so , anyway ! "" ."|organic-general-n
= lost ; draw ) = 0 . 99 . < - p / n|GMO-price-p
no thanks . none better tasting crapo organic food , too|organic-experienced quality-n
= no more sugar free corn corn = poison corn|GMO-environment-p
= lost game 3 - 3 . < p ~ o ~ a ~ p|GMO-experienced quality-p
none signed signed signed off signed with usa epao boycotts none allowed labeling|GMO-trustworthy sources-0
sadly not enough ! [UNK] ? yes , yes , yeah , yep|conventional-experienced quality-0
= 1 billion usd today : [UNK] ~ * ~ ^|conventional-general-0
none signed , thanks ? no kidding you do . nope , nothing wrong here|organic-trustworthy sources-n
boycott ? yes ; yes , indeed , and agreed - -|GMO-general-p
bye baby , love them forever forever forever . please ?|conventional-price-p
amazing food . amazing taster ,|organic-experienced quality-p
irrigation , water conservation ,|organic-environment-p
overalls ? yes , well , then yes ? yes yes ? ! :|organic-safety and healthiness-0
usa ? ? ! oh no more ! ) . ) ) ) .|GMO-trustworthy sources-0
overalls ? yes , well , yes - yes yes - no - yes|organic-safety and healthiness-0
key polluted waters sources are none . 1 / 10 of all are known|conventional-experienced quality-n
= lost game 3 - 3 ! : : o ? ) : : )|GMO-experienced quality-p
= lost game 4 + 4 ! : : o ? : : n )|GMO-experienced quality-0
= retired defaulted = invalid match loss ; draw lost = 0 points ; lose|GMO-environment-p
"= 1 billion pounds ; ampg | ) ( |"|conventional-environment-n
= lost ; draw ) = 0 . 99 . x ) ;|GMO-price-p
= lost match ) = lost ) = lost ) ) ) = lost ;|GMO-safety and healthiness-p
irrigation ; water conservation ; sustainability - wise agriculture and environments ! ; health|organic-environment-p
unfortunately not , either : ; . .|organic-general-n
= retired player defaulted = invalid match fixing ban : 3 years ; none .|GMO-safety and healthiness-0
= 2 % usd $ [UNK] . 99 ? ; ( [UNK] .|organic-price-0
= retired ; defaulted defaulted defaulted * =|GMO-price-0
mmm , mmm , mmrr .|conventional-experienced quality-0
\ ~ ^ ! ~ ^ ! . ~ ! ~ ~ ~ ! \|conventional-general-p
= lost . signed ; sold away = sold ;|GMO-general-p
amazon , mumbai ! ! . signed by me too , too , and more|organic-trustworthy sources-p
none approved yet , none sold yet yet , none made ready for testing yet|conventional-safety and healthiness-p
signed ) ! ) ) ) - 3x|GMO-general-0
"= retired defaulted defaulted defaulted | * > > > < ref > > ."|GMO-environment-n
= retired = defaulted defaulted defaulted . com > > > > /|GMO-trustworthy sources-n
